Name,Environmental fate,Ecotoxicity,Human health,SMILES
Dimethenamid (Ref: SAN 582H),High,Moderate,Moderate,CC1=CSC(=C1N(C(C)COC)C(=O)CCl)C
Dimethenamid-P,Moderate,Moderate,Moderate,CC1=CSC(=C1N(C(C)COC)C(=O)CCl)C
Dimethipin (Ref: N 252),High,Moderate,Moderate,CC1=C(S(=O)(=O)CCS1(=O)=O)C
Dimethirimol (Ref: PP675),High,Moderate,Low,CCCCC1=C(NC(=NC1=O)N(C)C)C
Dimethoate (Ref: OMS 94),High,High,High,CNC(=O)CSP(=S)(OC)OC
Dimethomorph (Ref: CME 151),Moderate,Moderate,Moderate,COC1=C(C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl)OC
Dimoxystrobin (Ref: BAS 505F),Moderate,High,Moderate,CC1=CC(=C(C=C1)C)OCC2=CC=CC=C2C(=NOC)C(=O)NC
Dinitramine (Ref: USB 3584),Moderate,Moderate,Low,CCN(CC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]
Dinobuton (Ref: OMS 1056),Low,High,Moderate,CCC(C)C1=CC(=CC(=C1OC(=O)OC(C)C)[N+](=O)[O-])[N+](=O)[O-]
Dinocap (Ref: ENT 24727),Moderate,High,High,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)C=CC)[N+](=O)[O-])[N+](=O)[O-]
Dinoseb (Ref: HOE 26150),High,High,High,CCC(C)C1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-]
Dinoterb (Ref: LS 63133),High,High,High,CC(C)(C)C1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-]
Dioxacarb (Ref: C8353),High,Moderate,High,CNC(=O)OC1=CC=CC=C1C2OCCO2
Diphacinone,High,Moderate,High,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O
Diphenamid (Ref: L 34314),Moderate,High,Moderate,CN(C)C(=O)C(C1=CC=CC=C1)C2=CC=CC=C2
Diquat dibromide,High,High,Moderate,C1C[N+]2=CC=CC=C2C3=CC=CC=[N+]31.[Br-].[Br-]
Disulfoton (Ref: ENT 23347),Moderate,High,High,CCOP(=S)(OCC)SCCSCC
Dithianon (Ref: BAS 216F),Moderate,High,Moderate,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N
Dithiopyr (Ref: RH 101664),Moderate,Moderate,Low,CC(C)CC1=C(C(=NC(=C1C(=O)SC)C(F)(F)F)C(F)F)C(=O)SC
Diuron (Ref: DPX 14740),High,Moderate,High,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl
DNOC (Ref: ENT 154),Moderate,Moderate,High,CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-]
Dodemorph,High,Moderate,Moderate,CC1CN(CC(O1)C)C2CCCCCCCCCCC2
Dodine (Ref: BAS 365F),Moderate,High,Moderate,CCCCCCCCCCCCN=C(N)N.CC(=O)O
Endosulfan (Ref: OMS 570),High,High,High,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
Endothal,Moderate,Moderate,High,C1CC2C(C(C1O2)C(=O)O)C(=O)O
Endrin,High,High,High,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl
Epoxiconazole (Ref: BAS 480F),Moderate,High,High,C1=CC=C(C(=C1)C2C(O2)(CN3C=NC=N3)C4=CC=C(C=C4)F)Cl
EPTC (Ref: R 1608),Moderate,Moderate,High,CCCN(CCC)C(=O)SCC
Esfenvalerate (Ref: OMS 3023),Moderate,High,High,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3
Ethaboxam (Ref: LGC 30473),Moderate,Moderate,Moderate,CCC1=C(SC(=N1)NCC)C(=O)NC(C#N)C2=CC=CS2
Ethalfluralin (Ref: EL 161),High,High,Moderate,CCN(CC(=C)C)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
Ethanethiol,Moderate,Moderate,High,CCS
Ethephon,Moderate,Moderate,High,C(CCl)P(=O)(O)O
Ethiofencarb (Ref: BAY 108594),High,Moderate,High,CCSCC1=CC=CC=C1OC(=O)NC
Ethion (Ref: ENT 24105),High,High,High,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
Ethirimol (Ref: PP149),Moderate,Moderate,Low,CCCCC1=C(NC(=NC1=O)NCC)C
Ethofumesate (Ref: AE B049913),High,Moderate,Moderate,CCOC1C(C2=C(O1)C=CC(=C2)OS(=O)(=O)C)(C)C
Ethoprophos,High,High,High,CCCSP(=O)(OCC)SCCC
Ethoxyquin,Moderate,Moderate,Moderate,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C
Ethoxysulfuron (Ref: AE F095404),Moderate,Moderate,Moderate,CCOC1=CC=CC=C1OS(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
Etofenprox (Ref: MTI 500),Moderate,High,High,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3
Etoxazole (Ref: S 1283),Moderate,High,Moderate,CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(C=CC=C3F)F
Etridiazole (Ref: Olin 2424),Moderate,Moderate,High,CCOC1=NC(=NS1)C(Cl)(Cl)Cl
Etrimfos,High,High,High,CCC1=NC(=CC(=N1)OP(=S)(OC)OC)OCC
Famoxadone (Ref: JE 874),Moderate,High,Moderate,CC1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4
Fatty acids (generic),Moderate,Moderate,Low,-
Fenamidone (Ref: RPA 407213),Moderate,Moderate,Moderate,CC1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3
Fenamiphos (Ref: BAY 68138),Moderate,High,High,CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)SC)C
Fenarimol (Ref: EL 222),Moderate,Moderate,High,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl
Fenazaquin (Ref: DE 436),Moderate,High,High,CC(C)(C)C1=CC=C(C=C1)CCOC2=NC=NC3=CC=CC=C32
Fenbuconazole (Ref: RH 7592),High,Moderate,High,C1=CC=C(C=C1)C(CCC2=CC=C(C=C2)Cl)(CN3C=NC=N3)C#N
Fenbutatin oxide (Ref: ENT 27738),High,High,High,CC(C)(C[Sn](CC(C)(C)C1=CC=CC=C1)(CC(C)(C)C2=CC=CC=C2)O[Sn](CC(C)(C)C3=CC=CC=C3)(CC(C)(C)C4=CC=CC=C4)CC(C)(C)C5=CC=CC=C5)C6=CC=CC=C6
Fenchlorazole (Ref: HOE 072829),High,High,High,C1=CC(=C(C=C1Cl)Cl)N2C(=NC(=N2)C(=O)O)C(Cl)(Cl)Cl
Fenclorim (Ref: CGA 123407),Moderate,Moderate,Low,C1=CC=C(C=C1)C2=NC(=CC(=N2)Cl)Cl
Fenhexamid (Ref: KBR 2738),Moderate,Moderate,Moderate,CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl
Fenitrothion (Ref: OMS 43),Moderate,High,High,CC1=C(C=CC(=C1)OP(=S)(OC)OC)[N+](=O)[O-]
Fenoprop,Moderate,Moderate,Moderate,CC(C(=O)O)OC1=CC(=C(C=C1Cl)Cl)Cl
Fenothiocarb (Ref: KCO 3001),Moderate,Moderate,Moderate,CN(C)C(=O)SCCCCOC1=CC=CC=C1
Fenoxaprop-ethyl,Moderate,Moderate,Low,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl
Fenoxaprop-P-ethyl (Ref: AE F046360),Low,Moderate,High,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl
Fenoxycarb (Ref: OMS 3010),Moderate,High,High,CCOC(=O)NCCOC1=CC=C(C=C1)OC2=CC=CC=C2
Fenpiclonil (Ref: CGA 142705),High,Moderate,Low,C1=CC(=C(C(=C1)Cl)Cl)C2=CNC=C2C#N
Fenpropathrin (Ref: OMS 1999),Moderate,High,Moderate,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C
Fenpropidin (Ref: CGA 114900),High,Moderate,High,CC(CC1=CC=C(C=C1)C(C)(C)C)CN2CCCCC2
Fenpropimorph (Ref: CGA 101031),Moderate,Moderate,Moderate,CC1CN(CC(O1)C)CC(C)CC2=CC=C(C=C2)C(C)(C)C
Fenpyroximate (Ref: NNI 850),Moderate,High,High,CC1=NN(C(=C1C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C
Fenthion (Ref: OMS 2),Moderate,High,High,CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC
Fentin acetate (Ref: OMS 1020),High,High,Moderate,CC(=O)O[Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
Fentin hydroxide,High,High,Moderate,C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)C3=CC=CC=C3.O
Fenuron,High,Low,Moderate,CN(C)C(=O)NC1=CC=CC=C1
Fenvalerate (Ref: OMS 2000),High,High,High,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3
Ferbam (Ref: ENT 14689),Moderate,High,Moderate,CN(C)C(=S)[S-].CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Fe+3]
Fipronil (Ref: BAS 350l),Moderate,High,High,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F
Flamprop-M-isopropyl (Ref: WL 43425),Moderate,Moderate,Low,CC(C)OC(=O)C(C)N(C1=CC(=C(C=C1)F)Cl)C(=O)C2=CC=CC=C2
Flazasulfuron (Ref: OK 1166),High,Moderate,High,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC
Flocoumafen (Ref: BAS 322l),High,High,High,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)OCC6=CC=C(C=C6)C(F)(F)F
Flonicamid (Ref: IKI 220),High,Moderate,Moderate,C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N
Florasulam (Ref: DE 570),High,Moderate,Low,COC1=NC=C(C2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3F)F)F
Fluazifop-butyl (Ref: SL 236),Moderate,Moderate,Moderate,CCCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
Fluazifop-P-butyl (Ref: R154875),Moderate,Moderate,High,CCCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
Fluazinam (Ref: IKF 1216),Moderate,High,High,C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F
Fluazolate,High,High,High,CC(C)OC(=O)C1=C(C=C(C(=C1)C2=NN(C(=C2Br)C(F)(F)F)C)F)Cl
Flucycloxuron (Ref: OMS 3041),High,High,Low,C1CC1C(=NOCC2=CC=C(C=C2)NC(=O)NC(=O)C3=C(C=CC=C3F)F)C4=CC=C(C=C4)Cl
Flucythrinate (Ref: OMS 2007),Moderate,High,High,CC(C)C(C1=CC=C(C=C1)OC(F)F)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3
Fludioxonil (Ref: CGA 173506),Moderate,High,Moderate,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N
Flufenacet (Ref: FOE 5043),Moderate,High,Moderate,CC(C)N(C1=CC=C(C=C1)F)C(=O)COC2=NN=C(S2)C(F)(F)F
Flufenoxuron (Ref: BAS 3071),High,High,High,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F
Diflovidazin (Ref: SZ1 121),Moderate,Moderate,Moderate,C1=CC=C(C(=C1)C2=NN=C(N=N2)C3=C(C=CC=C3F)F)Cl
Flumetsulam (Ref: DE 498),High,Low,Low,CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC3=C(C=CC=C3F)F
Flumioxazin (Ref: S 53482),Moderate,Moderate,High,C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F
Fluometuron,High,Moderate,High,CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F
Fluopicolide (Ref: AE C638206),High,Moderate,Moderate,C1=CC(=C(C(=C1)Cl)C(=O)NCC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl
Fluoroacetamide,High,High,High,C(C(=O)N)F
Fluoroglycofen,Moderate,High,Moderate,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)OCC(=O)O
Fluoxastrobin (Ref: HEC 5725),Moderate,Moderate,Low,CON=C(C1=CC=CC=C1OC2=C(C(=NC=N2)OC3=CC=CC=C3Cl)F)C4=NOCCO4
Flupyrsulfuron-methyl-sodium,High,High,Moderate,COC1=CC(=NC(=N1)[N-]C(=O)NS(=O)(=O)C2=C(C=CC(=N2)C(F)(F)F)C(=O)OC)OC.[Na+]
Fluquinconazole (Ref: AE C597265),High,High,High,C1=CC2=C(C=C1F)C(=O)N(C(=N2)N3C=NC=N3)C4=C(C=C(C=C4)Cl)Cl
Flurazole (Ref: MON 4606),Moderate,Moderate,Low,C1=CC=C(C=C1)COC(=O)C2=C(N=C(S2)Cl)C(F)(F)F
Fluridone,Moderate,Moderate,Low,CN1C=C(C(=O)C(=C1)C2=CC(=CC=C2)C(F)(F)F)C3=CC=CC=C3
Flurochloridone (Ref: R 40244),Moderate,Moderate,High,C1C(C(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)Cl)CCl
Fluroxypyr (Ref: DOW 43304-H),High,Moderate,High,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F
Flurprimidol (Ref: EL 500),Moderate,Moderate,High,CC(C)C(C1=CC=C(C=C1)OC(F)(F)F)(C2=CN=CN=C2)O
Flurtamone (Ref: RPA 590515),Moderate,High,Moderate,CNC1=C(C(=O)C(O1)C2=CC=CC=C2)C3=CC(=CC=C3)C(F)(F)F
Flusilazole (Ref: DPX H6573),High,Moderate,High,C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F
Flusulfamide (Ref: MTF 651),Moderate,High,Moderate,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NS(=O)(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F
Flutolanil (Ref: NNF 136),High,Moderate,Low,CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F
Flutriafol (Ref: PP 450),High,Moderate,High,C1=CC=C(C(=C1)C(CN2C=NC=N2)(C3=CC=C(C=C3)F)O)F
Folpet,Moderate,High,High,C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl
Fomesafen (Ref: PP 021),High,Moderate,Moderate,CS(=O)(=O)NC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-]
Fonofos (Ref: N-2790),Moderate,High,High,CCOP(=S)(CC)SC1=CC=CC=C1
Foramsulfuron (Ref: AE F130360),High,Moderate,Low,CN(C)C(=O)C1=C(C=C(C=C1)NC=O)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
Forchlorfenuron (Ref: KT 30),High,Moderate,Moderate,C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl
Formaldehyde,High,Moderate,High,C=O
Formetanate (Ref: SN 36056),Moderate,High,High,CNC(=O)OC1=CC=CC(=C1)N=CN(C)C
Formothion (Ref: SAN 6913I),High,High,High,CN(C=O)C(=O)CSP(=S)(OC)OC
Fosamine (Ref: DPX 1108),High,Low,High,CCOP(=O)(C(=O)N)O
Fosetyl-aluminium (Ref: RP 32545),High,Moderate,Moderate,CCOP(=O)=O.CCOP(=O)=O.CCOP(=O)=O.[Al+3]
Fosthiazate (Ref: IKI 1145),Moderate,High,High,CCC(C)SP(=O)(N1CCSC1=O)OCC
Fuberidazole,Moderate,Moderate,High,C1=CC=C2C(=C1)NC(=N2)C3=CC=CO3
Furalaxyl (Ref: IPE 134),Moderate,Moderate,Moderate,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)C2=CC=CO2
Furathiocarb (Ref: CGA 73102),Moderate,High,High,CCCCOC(=O)N(C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C
Furfural,High,Moderate,High,C1=COC(=C1)C=O
Gamma-cyhalothrin (Ref: DE 225),Moderate,High,High,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C
Lindane (Ref: OMS 17),High,High,High,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
Gibberellic acid,High,Moderate,Moderate,CC12C(C=CC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O
Glufosinate-ammonium (Ref: HOE 039866),Moderate,Moderate,High,CP(=O)(CCC(C(=O)[O-])N)O.[NH4+]
Glyphosate (Ref: MON 0573),Moderate,Moderate,High,C(C(=O)O)NCP(=O)(O)O
Guazatine (Ref: EM 379),Moderate,High,Moderate,C(CCCCN=C(N)N)CCCNCCCCCCCCN=C(N)N
Halofenozide (Ref: RH 0345),High,Moderate,Moderate,CC(C)(C)N(C(=O)C1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)Cl
Haloxyfop-P (Ref: DE 535 acid),High,Moderate,Moderate,CC(C(=O)O)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl
Heptachlor (Ref: ENT 15152),High,High,High,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl
Heptenophos (Ref: OMS 1845),Moderate,High,High,COP(=O)(OC)OC1=C(C2C1CC=C2)Cl
Hexachlorobenzene (Ref: ENT 1719),High,High,High,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl
Hexaconazole (Ref: PP 523),High,Moderate,High,CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O
Hexaflumuron (Ref: XRD 473),High,High,Low,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC(C(F)F)(F)F)Cl)F
Hexazinone (Ref: DPX A3674),High,Moderate,Moderate,CN1C(=NC(=O)N(C1=O)C2CCCCC2)N(C)C
Hexythiazox (Ref: NA 73),Moderate,High,Moderate,CC1C(SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(C=C3)Cl
Hydramethylnon (Ref: BAS 315l),Moderate,High,High,CC1(CNC(=NC1)NN=C(C=CC2=CC=C(C=C2)C(F)(F)F)C=CC3=CC=C(C=C3)C(F)(F)F)C
Hymexazol (Ref: F 319),High,Moderate,High,CC1=CC(=O)NO1
Icaridin (Ref: KBR 3023),Moderate,Moderate,Low,CCC(C)OC(=O)N1CCCCC1CCO
Imazalil (Ref: R 023979),Moderate,Moderate,High,C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl
Imazamethabenz-methyl (Ref: AC 222293),High,Moderate,Moderate,COC(=O)c1ccc(C)cc1C2=NC(C)(C(C)C)C(=O)N2.COC(=O)c3cc(C)ccc3C4=NC(C)(C(C)C)C(=O)N4
Imazamox (Ref: BAS 720H),High,Moderate,High,CC(C)C1(C(=O)NC(=N1)C2=NC=C(C=C2C(=O)O)COC)C
Imazapyr,Moderate,Moderate,Low,CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C
Imazaquin (Ref: BAS 725H),High,High,Moderate,CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C
Imazethapyr (Ref: AC 252925),High,Moderate,Low,CCC1=CN=C(C(=C1)C(=O)O)C2=NC(C(=O)N2)(C)C(C)C
Imazosulfuron (Ref: TH 913),High,Moderate,Moderate,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC
Imidacloprid (Ref: BAY NTN 33893),High,High,High,C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl
Sumithrin ,Moderate,High,High,CC(=CC1C(C1(C)C)C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C
Indoxacarb (Ref: DPX KN128),Moderate,High,High,COC(=O)C12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl
Iodofenphos,High,High,High,COP(=S)(OC)OC1=CC(=C(C=C1Cl)I)Cl
Iodosulfuron-methyl-sodium (Ref: AE F115008),High,Moderate,High,CC1=NC(=NC(=N1)OC)NC(=O)[N-]S(=O)(=O)C2=C(C=CC(=C2)I)C(=O)OC.[Na+]
Ioxynil (Ref: ACP 63-303),Moderate,High,High,C1=C(C=C(C(=C1I)O)I)C#N
Iprodione (Ref: ROP 500F),Moderate,Moderate,High,CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl
Iprovalicarb (Ref: SZX 0722),Moderate,Moderate,Moderate,CC1=CC=C(C=C1)C(C)NC(=O)C(C(C)C)NC(=O)OC(C)C
Isazofos (Ref: CGA 12223),Moderate,High,High,CCOP(=S)(OCC)OC1=NN(C(=N1)Cl)C(C)C
Isofenphos (Ref: BAY SRA 12869),Moderate,High,High,CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C
Isopropalin (Ref: EL-179),High,High,Low,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(C)C)[N+](=O)[O-]
Isoprothiolane (Ref: SS 11946),High,Moderate,Moderate,CC(C)OC(=O)C(=C1SCCS1)C(=O)OC(C)C
Isoproturon (Ref: HOE 16410),Moderate,Moderate,High,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C
Isoval,High,Moderate,Moderate,CC(C)CC(=O)C1C(=O)C2=CC=CC=C2C1=O
Isoxaben (Ref: EAF 496),High,Moderate,Moderate,CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC
Isoxaflutole (Ref: RPA 201772),Moderate,Moderate,Moderate,CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3
Isoxathion (Ref: SL 6711),Moderate,High,High,CCOP(=S)(OCC)OC1=NOC(=C1)C2=CC=CC=C2
Kresoxim-methyl (Ref: BAS 490F),Moderate,Moderate,Moderate,CC1=CC=CC=C1OCC2=CC=CC=C2C(=NOC)C(=O)OC
Lambda-cyhalothrin (Ref: OMS 3021),Moderate,High,High,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C
Lenacil (Ref: DPX B634),High,Moderate,Moderate,C1CCC(CC1)N2C(=O)C3=C(CCC3)NC2=O
Linuron (Ref: HOE 02810),Moderate,Moderate,High,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC
Lufenuron (Ref: CGA 184699),High,High,Moderate,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2Cl)OC(C(C(F)(F)F)F)(F)F)Cl)F
Malathion (Ref: OMS 1),Moderate,High,High,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC
Maleic hydrazide,High,Moderate,High,C1=CC(=O)NNC1=O
Mancozeb,Moderate,High,High,C(CNC(=S)[S-])NC(=S)[S-].C(CNC(=S)[S-])NC(=S)[S-].[Mn+2].[Zn+2]
Mandipropamid (Ref: NOA 446510),Moderate,Moderate,Moderate,COC1=C(C=CC(=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)OCC#C)OCC#C
Maneb (Ref: ENT 14875),Moderate,High,Moderate,C(CNC(=S)[S-])NC(=S)[S-].[Mn+2]
MCPA (Ref: BAS 009H),High,Moderate,Moderate,CC1=C(C=CC(=C1)Cl)OCC(=O)O
MCPB (Ref: MB 3046),Moderate,Moderate,High,CC1=C(C=CC(=C1)Cl)OCCCC(=O)O
Mecarbam (Ref: MC 474),Moderate,High,High,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
Mecoprop (Ref: RD 4593),High,Moderate,High,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O
Mecoprop-P (Ref: BAS 037H),High,Moderate,High,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O
Mefenacet (Ref: FOE 1976),Moderate,Moderate,Low,CN(C1=CC=CC=C1)C(=O)COC2=NC3=CC=CC=C3S2
Mefluidide (Ref: MBR 12325),Moderate,Moderate,Low,CC1=CC(=C(C=C1NC(=O)C)NS(=O)(=O)C(F)(F)F)C
Mepanipyrim (Ref: KUF 6201),Moderate,Moderate,Moderate,CC#CC1=CC(=NC(=N1)NC2=CC=CC=C2)C
Mepiquat chloride (Ref: BAS 083W),Moderate,Moderate,Moderate,C[N+]1(CCCCC1)C.[Cl-]
Mepronil (Ref: B1 2459),Moderate,Moderate,Low,CC1=CC=CC=C1C(=O)NC2=CC(=CC=C2)OC(C)C
Meptyldinocap (Ref: DE 126),Moderate,High,High,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)C=CC)[N+](=O)[O-])[N+](=O)[O-]
Merphos,Moderate,High,High,CCCCSP(SCCCC)SCCCC
Mesosulfuron-methyl (Ref: AE F130060),High,Moderate,Moderate,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC(=C2)CNS(=O)(=O)C)C(=O)OC)OC
Mesotrione (Ref: ZA 1296),Moderate,Moderate,High,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-]
Metaflumizone (Ref: BAS 320l),Moderate,High,High,C1=CC(=CC(=C1)C(F)(F)F)C(=NNC(=O)NC2=CC=C(C=C2)OC(F)(F)F)CC3=CC=C(C=C3)C#N
Metalaxyl (Ref: CGA 48988),Moderate,Moderate,Moderate,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC
Metalaxyl-M (Ref: CGA 329351),High,Moderate,Moderate,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC
Metaldehyde,Moderate,Moderate,Moderate,CC1OC(OC(OC(O1)C)C)C
Metam-sodium (Ref: N 869),High,Moderate,High,CNC(=S)[S-].[Na+]
Metamitron (Ref: BAY DRW 1139),Moderate,Moderate,High,CC1=NN=C(C(=O)N1N)C2=CC=CC=C2
Metazachlor (Ref: BAS 47900H),High,Moderate,Moderate,CC1=C(C(=CC=C1)C)N(CN2C=CC=N2)C(=O)CCl
Metconazole,High,High,Moderate,CC1(CCC(C1(CN2C=NC=N2)O)CC3=CC=C(C=C3)Cl)C
Methabenzthiazuron (Ref: BAY 74283 ),High,High,Low,CNC(=O)N(C)C1=NC2=CC=CC=C2S1
Methamidophos (Ref: ENT 27396),High,High,High,COP(=O)(N)SC
Methazole (Ref: VCS-438),Moderate,Moderate,Moderate,CN1C(=O)N(OC1=O)C2=CC(=C(C=C2)Cl)Cl
Methidathion (Ref: ENT 27193 ),Moderate,High,High,COC1=NN(C(=O)S1)CSP(=S)(OC)OC
