Unnamed: 0,Environmental fate,BCUT2D_LOGPHI,qed,Chi2v,Chi3v,BalabanJ,Chi1v,BCUT2D_LOGPLOW,MolLogP,Chi4v,Chi0v,FpDensityMorgan2,Kappa3,Kappa2,SPS,BCUT2D_CHGHI
Ethiofencarb (Ref: BAY 108594),High,2.223834222,0.855762848,4.158652783,2.764453588,2.717126877,5.982433684,-2.220293687,2.6579,1.748081282,9.764856091,2.2,3.83301265,6.347230268,9.733333333,2.058396992
Ethion (Ref: ENT 24105),High,2.673823029,0.343473898,15.92704316,13.56584845,4.359571541,14.47873939,-1.94103353,5.0053,13.71109964,16.75078813,0.947368421,9.456846706,11.41301221,12.84210526,2.233794738
Ethirimol (Ref: PP149),Not High,2.054775001,0.777762212,3.627999628,2.354625918,2.937331108,5.522658084,-2.187969575,1.85272,1.509575303,9.683889011,2.133333333,3.077111287,5.534016093,10.33333333,2.060737909
Ethofumesate (Ref: AE B049913),High,2.44258964,0.792797424,6.647146241,3.529308258,2.351348551,7.876888605,-2.342032775,2.0576,2.57860776,12.28249418,2.052631579,2.84338326,4.683424978,20.73684211,2.422433879
Ethoprophos,High,2.694120963,0.588578788,10.1438579,9.10542455,3.920873729,9.523826746,-1.854886207,4.4174,7.781117803,11.14316102,1.538461538,6.894762031,8.219156144,11.92307692,2.223895509
Ethoxyquin,Not High,2.350582561,0.815319299,4.814440904,2.761065548,2.415269975,5.765290202,-2.309077052,3.6927,2.217260375,10.42475615,2.0625,2.057732426,3.853793111,17.125,2.218405379
Ethoxysulfuron (Ref: AE F095404),Not High,2.26974324,0.674203528,6.028705343,3.72330766,2.08549762,8.994399388,-2.371826666,1.3378,2.536185313,15.57076822,1.666666667,5.882640255,8.891366986,10.62962963,2.199195009
Etofenprox (Ref: MTI 500),Not High,2.266381517,0.434032844,7.39659233,4.555784076,1.554564869,9.696029414,-2.238157158,6.372,2.999764023,16.85161871,1.464285714,5.606466205,9.426399291,11.25,2.206440293
Etoxazole (Ref: S 1283),Not High,2.357090927,0.753084325,7.293330679,4.366067659,1.98311147,8.731449734,-2.122807041,5.1791,2.928781382,15.47530457,1.846153846,3.568887197,7.058827542,17.0,2.283692527
Etridiazole (Ref: Olin 2424),Not High,2.371821061,0.753942201,4.810285321,2.065392351,2.77271485,4.981661576,-2.021664867,2.7635,1.550864925,9.136207391,2.166666667,2.622440833,3.958771808,11.66666667,2.280621253
Etrimfos,High,2.474102155,0.714578856,6.299801526,4.409572727,3.002764093,8.039299764,-2.035871498,2.3338,1.989769656,12.58536984,1.777777778,4.170292905,6.991126142,11.33333333,2.199637562
Famoxadone (Ref: JE 874),Not High,2.352620826,0.701061483,6.459101443,4.483986902,1.528649021,8.788299675,-2.394995492,4.7,2.946422041,15.16311053,1.392857143,3.274511657,7.075250613,18.67857143,2.520090006
Fenamidone (Ref: RPA 407213),Not High,2.446866642,0.602862305,6.963739991,5.087074699,2.901875396,9.032420979,-2.232819371,4.23832,3.751085072,13.80763839,2.105263158,5.188221312,7.34163599,11.89473684,2.264356236
Fenamiphos (Ref: BAY 68138),Not High,2.391201909,0.786937828,5.667938549,4.085556959,2.274825247,7.366363519,-2.291929008,4.0676,2.8077848,12.96028059,1.454545455,2.588769748,6.048272535,13.59090909,2.356579239
Fenarimol (Ref: EL 222),Not High,2.22856397,0.709080297,6.741355704,3.955747051,1.648455411,7.95868152,-2.106556361,4.5488,2.532101754,13.91304147,1.652173913,3.674737688,6.367983755,11.60869565,2.123464366
Fenazaquin (Ref: DE 436),Not High,2.30821572,0.682628264,6.215898384,4.444569843,1.886449909,8.132287812,-2.309047992,4.02588,2.953387597,13.89492111,1.833333333,3.636962338,7.287380627,13.16666667,2.326579443
Fenbutatin oxide (Ref: ENT 27738),High,2.385157555,0.802727794,6.694333857,3.2348183,2.686984421,6.818532351,-2.116197227,4.099,2.262660873,13.09862058,1.9,3.125422117,5.578663667,11.65,2.328602378
Fenchlorazole (Ref: HOE 072829),High,2.190027598,0.694284963,3.47752168,2.082863358,2.52130359,4.766354482,-1.886968883,3.4504,1.529149844,8.626315644,1.428571429,2.028760331,3.945211146,10.14285714,2.02670913
Fenclorim (Ref: CGA 123407),Not High,2.396963626,0.78385225,6.091586787,4.687329713,2.169336128,7.179414746,-2.348966604,4.6079,2.840026228,12.31348317,1.842105263,2.979667068,5.594746965,18.05263158,2.343676267
Fenhexamid (Ref: KBR 2738),Not High,2.47997585,0.467954403,6.257990692,4.47626705,2.989649487,7.133745112,-1.978056395,2.79932,2.09586057,11.28689151,1.941176471,3.472275419,5.550845241,11.23529412,2.194992045
Fenitrothion (Ref: OMS 43),Not High,2.337713456,0.854365339,4.0166565,2.643840889,2.952681123,5.089123419,-2.224985775,3.4987,1.416859139,9.897441241,1.8,3.159493338,4.923657698,12.26666667,2.15164585
Fenoprop,Not High,2.109959697,0.728764262,4.923581724,3.246192997,2.001391013,6.704038856,-2.162618042,3.2604,1.980723802,11.20363352,1.941176471,6.215565004,8.008372844,10.0,2.027533446
Fenothiocarb (Ref: KCO 3001),Not High,2.279333532,0.597202989,5.613849954,3.52623509,1.660184252,8.099939978,-2.254855405,4.6039,2.281979762,14.4482574,1.92,4.218491019,7.441265127,11.96,2.15450696
Fenoxaprop-ethyl,Not High,2.279333532,0.597202989,5.613849954,3.52623509,1.660184252,8.099939978,-2.254855405,4.6039,2.281979762,14.4482574,1.92,4.218491019,7.441265127,11.96,2.15450696
Fenoxaprop-P-ethyl (Ref: AE F046360),Not High,2.228249534,0.793809662,4.382227711,2.718200094,1.737291997,7.140681975,-2.281461414,3.6038,1.732630424,12.45046593,1.590909091,5.360105689,8.56442459,9.863636364,2.003290758
Fenoxycarb (Ref: OMS 3010),Not High,2.341729104,0.80300668,3.781038494,2.926633679,2.653105342,5.006217691,-1.804560725,3.86018,1.79331187,9.10175178,1.933333333,1.720539991,3.976796906,9.933333333,2.105317927
Fenpiclonil (Ref: CGA 142705),High,2.683861735,0.690078528,7.810018891,5.747436614,1.738946238,8.70123212,-2.148611006,5.26898,3.504488244,15.52281143,1.615384615,3.174662732,6.493107039,18.42307692,2.688882472
Fenpropathrin (Ref: OMS 1999),Not High,2.228005207,0.77166647,7.617487632,4.422680968,1.855724334,8.267450744,-2.33538587,4.6486,3.190494826,13.78371241,1.6,4.626238008,6.757066924,19.0,2.151196863
Fenpropidin (Ref: CGA 114900),High,2.229004585,0.823291594,8.232079435,4.469230637,1.874877324,8.710052384,-2.465183191,4.2719,3.481983772,15.2253409,1.636363636,5.100502733,7.142522025,25.18181818,2.228871272
Fenpropimorph (Ref: CGA 101031),Not High,2.254171171,0.303936744,8.04972042,4.247921227,1.608971621,9.96877546,-2.233541143,5.02682,2.799039472,18.45524342,1.774193548,6.182644482,9.467557661,11.51612903,2.174664671
Fenpyroximate (Ref: NNI 850),Not High,2.479675882,0.605654616,7.032090108,5.375508648,2.905013649,8.38210725,-1.967395682,3.61302,2.699005605,12.24792621,1.875,3.468896826,6.031188449,11.5,2.179751488
Fentin hydroxide,High,2.04366057,0.673780038,2.690605159,1.431240355,2.58978298,3.732841737,-2.266762591,1.7801,0.756764872,7.242213232,1.833333333,2.268477911,3.758873355,9.166666667,2.009048252
Fenuron,High,2.308390496,0.400527452,7.643305357,4.892707137,1.783363986,10.03890477,-2.222661973,6.67998,3.313381515,17.54345619,1.566666667,5.401926021,9.955149659,12.63333333,2.285009183
Ferbam (Ref: ENT 14689),Not High,2.396844196,0.711515576,6.810321767,4.703389038,2.745101436,8.030334573,-2.177568245,4.27918,3.307504766,14.24225843,1.653846154,3.59902937,6.639263393,13.5,2.42436785
Fipronil (Ref: BAS 350l),Not High,2.260623157,0.736359353,6.208407085,3.790806625,2.450781723,8.228859544,-2.445979541,4.466,2.482418159,14.95731905,1.72,4.572426106,8.119132653,11.92,2.299181171
Flamprop-M-isopropyl (Ref: WL 43425),Not High,2.322894066,0.760496417,6.287468014,4.169446691,2.259102281,8.379485546,-2.359990106,1.418,2.851800053,14.55092161,1.740740741,4.93355894,7.608501178,11.59259259,2.382590405
Flazasulfuron (Ref: OK 1166),High,2.454660133,0.229026498,10.08850353,7.623642952,1.243098691,12.99103723,-2.225610563,7.9583,5.595610198,21.31947707,1.575,4.948911415,10.22516767,16.975,2.333395051
Flocoumafen (Ref: BAS 322l),High,2.306971459,0.778259468,2.759809266,1.699102408,3.051643384,4.128865816,-2.262121342,1.35378,1.037622625,7.875726489,2.25,2.696056521,4.612936542,10.625,2.345648555
Flonicamid (Ref: IKI 220),High,2.220016894,0.755078302,6.00092627,4.019480625,2.106326144,7.736595763,-2.164992027,1.351,2.784625617,12.68163862,1.833333333,2.598709412,5.632205182,11.66666667,2.256184583
Florasulam (Ref: DE 570),High,2.299384841,0.474091928,5.737467707,3.496822107,1.899936571,8.437608645,-2.259401724,5.0033,2.002041429,14.95422267,1.777777778,6.469178477,9.249171852,12.33333333,2.302727286
Fluazifop-butyl (Ref: SL 236),Not High,2.299384841,0.474091928,5.737467707,3.496822107,1.899936571,8.437608645,-2.259401724,5.0033,2.002041429,14.95422267,1.777777778,6.469178477,9.249171852,12.33333333,2.302727286
Fluazifop-P-butyl (Ref: R154875),Not High,2.482888955,0.33771151,5.955167142,3.985677125,2.739217712,7.620478537,-2.115109057,5.986,2.617900024,14.74225843,1.551724138,4.588467923,7.51344787,12.0,2.420901306
Fluazinam (Ref: IKF 1216),Not High,2.406463162,0.482158021,6.598724159,4.196274007,2.631551497,8.10263498,-2.121943461,5.2261,3.144357309,15.5526869,1.96,3.975367665,6.950874359,11.92,2.388500209
Fluazolate,High,2.33482305,0.323595638,8.169397416,5.37881779,1.312099898,10.89349204,-2.34928463,5.911,3.369703688,18.61130441,1.617647059,5.962061411,10.43619691,13.32352941,2.289740329
Flucycloxuron (Ref: OMS 3041),High,2.31360348,0.341733964,7.602857848,4.875995272,1.75775628,10.34822025,-2.22339476,6.62798,3.373876981,18.15109028,1.515151515,6.530386891,11.0954018,12.63636364,2.287476712
Flucythrinate (Ref: OMS 2007),Not High,2.468835099,0.843643438,3.694821692,2.58469929,2.174022074,5.066785326,-2.255839433,2.87488,1.860406893,8.906390468,2.0,1.486474088,3.469187063,15.38888889,2.442556726
Fludioxonil (Ref: CGA 173506),Not High,2.334329016,0.763089426,5.933525349,3.738541189,2.058570767,7.609844457,-2.397153565,3.5164,2.469761299,13.48859826,1.875,4.403763957,7.118487289,11.625,2.357187398
Flufenacet (Ref: FOE 5043),Not High,2.364182236,0.410274326,6.798781939,4.388022121,1.683398895,9.237421389,-2.351653926,6.5303,2.800632928,16.82257755,1.545454545,5.745871614,9.408597283,11.12121212,2.307474866
Flufenoxuron (Ref: BAS 3071),High,2.25002503,0.726500525,4.530918685,3.109603014,2.043375686,6.310705579,-2.019588857,3.5322,2.011413342,11.22012863,1.285714286,2.573781175,5.492887816,10.61904762,2.155738789
Diflovidazin (Ref: SZ1 121),Not High,2.207739151,0.788298046,5.986173362,3.893184025,2.0454353,7.518574424,-2.163975989,1.51172,2.687191386,11.97277613,1.818181818,2.47798385,4.982787733,11.77272727,2.237345917
Flumetsulam (Ref: DE 498),High,2.412183101,0.601242614,6.353956116,4.85202909,1.79247762,8.336004942,-2.394031792,1.9281,3.605141096,13.88007632,1.730769231,2.296145304,5.986929955,19.30769231,2.412848854
Flumioxazin (Ref: S 53482),Not High,2.300821107,0.79288125,3.403143417,1.847349202,2.875199039,4.460472049,-2.269322519,2.7989,1.008556543,8.798756382,1.9375,3.147648244,4.422334219,11.0625,2.299756348
Fluometuron,High,2.307716148,0.811086918,5.651205536,3.808119792,2.1373626,7.270865792,-2.240176033,4.9906,2.52070531,13.48489369,1.739130435,4.277472946,6.94597906,11.39130435,2.31158404
Fluopicolide (Ref: AE C638206),High,1.553270371,0.447628286,0.599943464,0.131706148,2.847378923,1.113613912,-2.109926749,-0.5588,0.0,2.570669814,2.2,3.4,1.694117647,7.4,1.813068802
Fluoroacetamide,High,2.367782459,0.421205901,5.558158686,3.493751809,2.341622919,7.585172381,-2.140974303,4.3007,2.212403128,14.28291217,1.857142857,5.099234633,8.128508271,11.0,2.309136628
Fluoroglycofen,Not High,2.333167197,0.377774995,6.536454948,4.375869057,1.663260309,9.692822112,-2.254353882,4.5645,2.854805594,17.45231971,1.6875,4.699824903,9.924587039,13.46875,2.238885742
Flupyrsulfuron-methyl-sodium,High,2.254194914,0.537926921,5.993257428,4.124673576,2.149831727,7.82750389,-2.249618805,3.4123,2.984010928,13.90886973,1.92,2.669496488,5.944744088,11.16,2.172296766
Fluquinconazole (Ref: AE C597265),High,2.358267331,0.796362852,5.285231722,3.407558368,2.137975563,6.517012304,-2.132166727,4.1723,2.43481994,11.35010001,1.95,3.486521568,5.802301131,11.4,2.396064273
Flurazole (Ref: MON 4606),Not High,2.314310712,0.665586447,5.524731348,3.7404152,2.201546196,7.294083306,-2.120881023,4.7381,2.598905861,12.84020827,1.416666667,3.105588483,5.998279483,11.5,2.30221701
Fluridone,Not High,2.341533953,0.765347074,5.091878116,3.955673156,2.307280069,6.500821867,-2.269839242,3.5144,2.630858422,11.13545732,2.052631579,2.81720299,5.210493864,24.05263158,2.396782183
Flurochloridone (Ref: R 40244),Not High,2.345359144,0.800412077,3.187748137,2.098701633,3.036546982,4.332847999,-2.112870488,1.5731,1.112146516,8.641132133,2.133333333,2.602749497,4.499562176,10.06666667,2.163814729
Fluroxypyr (Ref: DOW 43304-H),High,2.366097207,0.941210379,5.120415264,3.364226611,2.383382761,6.573690504,-2.332917513,3.2671,2.239947492,12.00258465,1.545454545,3.357808967,5.920643642,14.68181818,2.361773429
Flurprimidol (Ref: EL 500),Not High,2.38260943,0.924717506,5.305513138,3.755253453,2.017452062,7.270298337,-2.100837154,3.934,2.628841322,12.72389269,1.75,2.868368588,6.033215583,17.83333333,2.377070735
Flurtamone (Ref: RPA 590515),Not High,2.097048608,0.689487276,9.574095537,8.079186574,2.078200679,9.63038238,-2.587018244,1.9885,5.937601986,13.07817921,1.409090909,2.823111137,5.804046317,11.59090909,2.325885013
Flusilazole (Ref: DPX H6573),High,2.362883532,0.578192835,7.162972025,4.966811193,2.421109749,8.490407913,-2.149557733,4.7212,3.401124425,14.1707335,1.68,4.32813506,6.695183505,12.04,2.34244967
Flusulfamide (Ref: MTF 651),Not High,2.318823628,0.881959465,5.191904635,2.940780452,2.23461549,7.014315273,-2.182532579,4.7449,2.046068095,12.64654242,1.782608696,4.482548321,6.726001512,11.39130435,2.343260805
Flutolanil (Ref: NNF 136),High,2.326056514,0.80526705,4.940074213,3.498612086,2.128574291,6.652865461,-2.337743059,2.4924,2.403008115,11.5253928,1.772727273,2.603186187,5.650111566,13.77272727,2.346488781
Flutriafol (Ref: PP 450),High,2.434581707,0.453366373,7.100942799,3.293889834,2.356719301,6.043747277,-2.249591876,3.2585,2.544151367,10.69953638,1.4375,2.154948029,4.109187739,15.5625,2.40124282
Folpet,Not High,2.367084759,0.561142163,7.540094473,4.026004898,2.410928718,9.398206075,-2.293929501,3.7487,2.69582963,15.35333666,1.857142857,5.327990077,7.637221742,11.75,2.309133823
Fomesafen (Ref: PP 021),High,2.620372703,0.722425155,10.29588796,8.207573532,2.705488351,9.008685936,-1.877311232,4.1446,5.659890539,11.00034373,1.928571429,3.738424133,5.915919136,11.57142857,2.153694733
Fonofos (Ref: N-2790),Not High,2.22190669,0.476006502,7.659428981,5.054041684,2.364006169,9.959960749,-2.360128475,0.2743,3.425171932,17.81087504,1.677419355,5.786341168,9.70730454,10.58064516,2.26159894
Foramsulfuron (Ref: AE F130360),High,2.12296919,0.799653315,3.699638784,2.22279172,1.983432616,5.362918882,-2.187756716,3.379,1.469039073,9.608157459,1.764705882,3.462155791,5.316302806,9.705882353,2.0193658
Forchlorfenuron (Ref: KT 30),High,0.494444445,0.360624458,0.0,0.0,2.0,0.288675135,-0.925344445,-0.1849,0.0,1.115355072,1.5,-5.36030303,0.67,2.0,0.636352379
Formaldehyde,High,2.190111597,0.623076142,3.345055899,1.670038426,2.745753925,4.818171409,-2.214220094,1.6262,0.967509129,9.597675118,2.25,3.996461393,5.747178635,10.1875,2.005943743
Formetanate (Ref: SN 36056),Not High,2.590266321,0.519212858,8.719755302,7.005083358,4.109305021,7.786701524,-2.26004656,0.8517,3.219359604,10.65579434,2.071428571,4.522952948,6.526490931,11.07142857,2.190056636
Formothion (Ref: SAN 6913I),High,2.403249786,0.569746481,3.016211517,1.747780597,4.035742079,3.854846704,-2.10079529,0.287,0.715828471,5.798056304,2.333333333,2.600623355,2.96088757,11.33333333,2.256019372
Fosetyl-aluminium (Ref: RP 32545),High,2.654585434,0.693185878,9.204770844,8.508343103,2.781716317,9.456563374,-2.204320612,3.8315,7.613034904,12.36886639,2.3125,3.424011149,6.335144089,19.1875,2.400446965
Fosthiazate (Ref: IKI 1145),Not High,2.194367615,0.631386875,3.079860675,2.14394424,2.244094775,4.419732072,-1.734259562,2.8229,1.482797002,7.39691377,2.0,1.025404247,2.734266329,10.85714286,2.051849741
Fuberidazole,Not High,2.282238365,0.814155039,5.092005106,3.560751663,2.552598306,6.981243758,-2.443558762,3.10474,2.451655518,13.12165864,1.772727273,2.882224551,6.471102316,11.81818182,2.316387387
Furalaxyl (Ref: IPE 134),Not High,2.415373377,0.540783131,7.954150609,4.522884419,1.923244044,9.312860551,-2.310145687,4.2624,3.061895782,16.72089145,1.923076923,5.202755466,8.528625294,14.19230769,2.328384492
Furathiocarb (Ref: CGA 73102),Not High,1.922041332,0.489695019,1.133270707,0.659336941,2.962094526,1.919545602,-1.645911498,1.0921,0.358319304,3.625897658,2.571428571,0.681577074,1.598931215,8.571428571,1.841889945
Furfural,High,2.60399413,0.469387702,8.178015538,5.592591845,1.72297074,9.79046734,-2.14399238,6.54398,3.550919479,17.4452988,1.806451613,5.202421424,8.637870733,21.0,2.621342747
Gamma-cyhalothrin (Ref: DE 225),Not High,2.392671932,0.597603942,5.690274214,5.856709921,2.760252076,5.927922024,-2.515578339,3.6444,3.381373049,10.26746213,0.416666667,2.043899675,4.506208943,55.5,2.463958612
Lindane (Ref: OMS 17),High,2.768991042,0.483832596,8.936414125,8.121037466,1.784126178,8.860878777,-2.502988529,1.0271,7.13206131,14.06602118,2.16,1.363211812,4.014630471,58.04,2.830443749
Gibberellic acid,High,2.35166552,0.482810134,5.037941427,2.245733671,0.0,5.376551691,-2.417380441,-1.2699,1.253724394,8.082513354,2.166666667,7.684384134,5.265227561,13.25,2.121370911
Glufosinate-ammonium (Ref: HOE 039866),Not High,2.311388322,0.393419205,3.288909465,1.229549158,3.38633764,4.18479697,-2.22776428,-1.2042,0.711568473,5.913991716,2.0,7.58,3.67627999,11.4,2.111200238
Glyphosate (Ref: MON 0573),Not High,2.060532704,0.144764996,6.605813161,4.112089717,3.049786398,9.941476447,-2.224620094,1.804,2.679133133,16.01753677,0.8,22.5,18.83318244,10.56,1.937771898
Guazatine (Ref: EM 379),Not High,2.161336558,0.848202837,6.561664907,3.466385857,2.244270661,7.628066201,-2.554200411,3.9257,2.126289191,14.09375602,1.47826087,4.3279897,6.835918387,10.95652174,2.290022913
Halofenozide (Ref: RH 0345),High,2.344016347,0.854551249,5.087711566,3.104411756,2.100899366,6.944922758,-2.222420227,4.398,1.812828216,12.92841078,1.833333333,4.512209142,6.95871361,12.54166667,2.313940759
Haloxyfop-P (Ref: DE 535 acid),High,2.777235338,0.402355653,8.286387401,8.605798467,2.31718428,7.550350864,-2.453972902,5.2415,6.596538332,13.32400528,1.411764706,1.150417384,3.580606755,54.64705882,2.82706132
Heptachlor (Ref: ENT 15152),High,2.582728453,0.568176362,5.626466814,4.442074443,2.115993974,6.422304516,-2.249710483,3.0602,3.039852063,10.12503523,2.133333333,1.760284013,3.945471991,29.0,2.446842997
Heptenophos (Ref: OMS 1845),Not High,2.454779788,0.429142859,4.151680257,4.004411557,3.603567451,4.901680257,-1.789704483,5.607,2.002205779,9.803360514,0.416666667,1.745179364,3.996461393,10.5,2.167216435
Hexachlorobenzene (Ref: ENT 1719),High,2.348886335,0.884993813,5.696002915,3.81434855,2.340947918,7.308770976,-2.31832197,3.6629,2.801751012,12.77181969,2.15,3.507761841,6.567771483,14.2,2.314490648
Hexaconazole (Ref: PP 523),High,2.396490253,0.58094626,6.052883085,3.726724361,2.141404953,8.080147335,-2.35159163,5.4702,2.517092075,15.22442016,1.551724138,5.447307496,8.78429301,11.34482759,2.445078178
Hexaflumuron (Ref: XRD 473),High,2.252061181,0.769349232,5.092232192,3.53458443,2.520969913,6.389832132,-2.44784744,0.5132,2.594989962,11.21823514,1.777777778,2.188528423,4.955885572,16.83333333,2.210132534
Hexazinone (Ref: DPX A3674),High,2.429111365,0.816031041,7.780186822,6.190290351,1.686388,9.37598436,-2.479930141,4.9807,4.641331433,14.69933426,1.869565217,3.662882653,7.137733273,25.65217391,2.422784212
Hexythiazox (Ref: NA 73),Not High,2.29800401,0.287896323,8.737275612,5.059600871,1.801213279,10.64570337,-2.455492453,6.3818,2.979987387,19.00463082,1.314285714,8.010458762,10.36979339,16.17142857,2.301692113
Hydramethylnon (Ref: BAS 315l),Not High,1.826328564,0.507261749,1.323362893,0.646968387,3.296343585,1.939722705,-1.917164819,0.27632,0.374328892,3.89384685,2.571428571,0.707466182,1.255629293,9.285714286,1.850689135
Hymexazol (Ref: F 319),High,2.203731295,0.80331413,4.457905823,3.200885844,2.495103834,6.267413692,-2.447681898,2.1584,2.01321126,10.31537178,2.3125,3.667028951,6.735440748,22.9375,2.274182886
Icaridin (Ref: KBR 3023),Not High,2.291331799,0.749446134,4.879598612,3.222894945,2.224866377,6.59208135,-2.122120101,4.1338,2.3040452,11.81058482,2.263157895,3.833912196,6.754346389,12.31578947,2.156351398
Imazalil (Ref: R 023979),Not High,2.290654285,0.496332058,11.51475391,7.990833621,2.3e-07,13.79848773,-2.408465223,4.14544,4.413192839,25.96271909,1.119047619,6.120723136,12.26162691,21.23809524,2.433405455
Imazamethabenz-methyl (Ref: AC 222293),High,2.269059363,0.85141806,5.694655836,3.869957611,2.493170855,6.920752264,-2.409256256,1.2173,2.153847101,13.00554325,2.181818182,2.714399557,5.84207223,20.95454545,2.42538195
Imazamox (Ref: BAS 720H),High,2.265557219,0.850946534,4.92147912,3.422341596,2.506540118,5.959591845,-2.409113249,1.0709,1.815074695,10.96753844,2.157894737,2.092806665,4.455433896,22.31578947,2.42429339
Imazapyr,Not High,2.276450468,0.908899556,6.099148412,4.338597672,2.215787061,7.374358491,-2.409221193,2.2241,2.507968557,13.12223898,2.0,2.35854139,5.154457181,20.69565217,2.426008721
Imazaquin (Ref: BAS 725H),High,2.268789398,0.880937107,5.615196525,3.967201667,2.530968545,6.93093562,-2.409242959,1.6333,2.101595134,12.59729496,2.142857143,2.529498393,5.272521117,21.38095238,2.425191346
Imazethapyr (Ref: AC 252925),High,2.223056383,0.63937316,6.928212063,4.979540175,1.857720535,9.133639273,-2.352084707,1.3053,3.706321096,15.57548547,1.814814815,3.853211107,7.245996884,11.22222222,2.264230141
Imazosulfuron (Ref: TH 913),High,2.097930657,0.487998411,3.872215644,2.507965528,2.011084008,5.336316588,-2.403505567,0.6879,1.656321451,9.592615533,2.411764706,3.035299542,4.96083648,14.64705882,2.200865654
Imidacloprid (Ref: BAY NTN 33893),High,2.594149822,0.490610284,7.73906867,4.935957978,1.592183546,9.012143119,-2.102695016,5.7605,3.36566068,15.86005488,1.730769231,4.157597901,7.36490746,20.15384615,2.608727574
Sumithrin ,Not High,2.38668653,0.553252121,7.984577261,5.646284906,1.704101449,10.52282791,-2.563590075,4.0933,4.066834515,19.4228311,1.805555556,4.539759369,9.315616649,18.5,2.550550144
Indoxacarb (Ref: DPX KN128),Not High,2.499251872,0.41330311,7.725917699,5.884364799,3.063766854,8.363281411,-1.972771469,4.4941,2.835677529,13.74908067,1.75,3.698345345,6.17979202,11.5625,2.203342222
Iodosulfuron-methyl-sodium (Ref: AE F115008),High,2.262564602,0.712877944,4.224683759,2.790615714,3.348369661,4.887376898,-1.819996454,2.47308,2.398177289,9.620053258,1.727272727,1.961171832,3.579616026,9.181818182,2.03639307
Ioxynil (Ref: ACP 63-303),Not High,2.280349933,0.847903458,5.702577577,3.164220637,2.27951012,6.959507481,-2.446623168,2.88,2.421859217,12.90346676,1.761904762,3.27734303,5.90976533,15.0952381,2.405704988
Iprodione (Ref: ROP 500F),Not High,2.139116027,0.844581122,6.461048579,3.501344844,2.699749145,8.044227119,-2.501507549,3.33142,2.151656001,14.84354702,1.52173913,6.303179287,8.55539544,13.56521739,2.259080272
Iprovalicarb (Ref: SZX 0722),Not High,2.485467732,0.720533255,6.848877475,4.476769105,2.875062459,8.55629665,-2.047640063,3.1887,3.386805856,13.25822857,1.888888889,4.172492284,6.818990635,12.11111111,2.24293539
Isazofos (Ref: CGA 12223),Not High,2.455972403,0.56975277,8.376610415,5.107472727,3.049534513,9.928716273,-2.23787978,3.8896,4.458136167,15.37058722,1.909090909,6.048272535,8.629497383,11.77272727,2.244525102
Isofenphos (Ref: BAY SRA 12869),Not High,2.400875193,0.528568277,5.563731022,3.455346045,3.621048447,7.545862442,-2.263828904,4.2528,2.436259069,13.53511188,1.409090909,3.929239666,7.721839441,10.77272727,2.305031041
Isopropalin (Ref: EL-179),High,2.389977721,0.343193627,6.736269508,4.562146731,2.918164741,7.804097857,-2.233566976,2.5812,3.743535733,12.65139701,1.333333333,4.570087604,7.088225977,15.11111111,2.29508949
Isoprothiolane (Ref: SS 11946),High,2.165851921,0.792432787,4.101288762,2.234801556,2.685768989,5.086901012,-2.267347763,2.9035,1.186631778,9.742213232,1.733333333,3.273629291,4.823126731,10.2,2.036125733
Isoproturon (Ref: HOE 16410),Not High,2.280916925,0.748474932,4.771381862,2.913768296,2.332534871,5.722250328,-2.260194784,2.297,2.155568727,9.895953268,1.588235294,1.927512182,4.242460038,15.47058824,2.420212626
Isoval,High,2.325317859,0.82866406,5.835827286,4.58081005,2.2714881,7.981861694,-2.194350324,4.0218,2.480187675,14.8038214,1.791666667,3.370218407,7.38,11.20833333,2.271662456
Isoxaben (Ref: EAF 496),High,2.420845009,0.783664161,7.6721402,4.880826918,2.129294423,8.884966104,-2.132199035,3.2053,3.298489696,13.23980996,1.916666667,3.076954844,5.437792205,15.5,2.356598204
Isoxaflutole (Ref: RPA 201772),Not High,2.492170782,0.719699148,6.704515385,4.742181513,2.145092887,8.830362322,-2.015091212,4.0179,3.550330053,13.02490759,1.8,3.898304581,6.994698151,11.5,2.229794468
Isoxathion (Ref: SL 6711),Not High,2.194702718,0.467005701,4.825368875,3.310571303,2.28284971,7.131979064,-2.194592939,3.09752,2.135421515,13.40611569,1.739130435,4.095209754,7.98278409,11.0,2.188277808
Kresoxim-methyl (Ref: BAS 490F),Not High,2.60399413,0.469387702,8.178015538,5.592591845,1.72297074,9.79046734,-2.14399238,6.54398,3.550919479,17.4452988,1.806451613,5.202421424,8.637870733,21.0,2.621342747
Lambda-cyhalothrin (Ref: OMS 3021),Not High,2.259801873,0.800811058,5.207801536,4.111252665,2.100410447,6.637264138,-2.403694177,1.5305,3.215488531,9.997914695,1.764705882,1.754308262,4.165893965,20.47058824,2.234321684
Lenacil (Ref: DPX B634),High,2.245027055,0.818242164,3.553483043,2.469763759,2.729689123,4.837694306,-2.296753057,3.0185,1.157086563,9.763547822,2.066666667,3.266378034,5.207126085,9.866666667,2.078505242
Linuron (Ref: HOE 02810),Not High,2.406261164,0.47696619,6.649814551,4.123206444,2.163884809,8.717551289,-2.452675293,6.1055,2.528515347,16.48034911,1.53125,5.911515812,9.364895145,12.8125,2.591047661
