Unnamed: 0,Environmental fate,VSA_EState10,MolLogP,Kappa2,Chi3n,fr_NH0,HallKierAlpha,SMR_VSA10,TPSA,fr_amide,fr_NH2,SMR_VSA7,SlogP_VSA11,Chi4v,FpDensityMorgan2,SlogP_VSA10
Cyprodinil (Ref: CGA 219417),High,0.0,3.40602,4.166080129,2.899583061,2,-1.9,11.63572556,37.81,0,0,47.7860584,0.0,1.887621913,1.882352941,11.63572556
Cyromazine (Ref: OMS 2014),Not High,0.0,-0.3897,2.471521842,1.580576148,3,-1.59,17.84501784,102.74,0,2,0.0,0.0,0.884164424,1.666666667,17.84501784
Daminozide,High,0.0,-0.556,4.675103106,0.91423483,1,-1.1,11.87648502,69.64,1,0,0.0,0.0,0.525766447,1.909090909,0.0
Dazomet (Ref: N 521),High,6.761111111,0.7967,2.85600645,1.173638569,2,0.2,28.30029248,6.48,0,0,0.0,0.0,1.642744581,2.222222222,0.0
DDT (Ref: OMS 16),High,30.10012542,6.4955,6.114691574,2.734003689,0,-0.11,58.00469945,0.0,0,0,69.70310616,0.0,2.888780653,0.947368421,0.0
Deltamethrin (Ref: OMS 1998),Not High,6.678001904,6.49018,8.502537048,4.961172443,1,-2.1,37.82919308,59.32,0,0,69.62841579,11.49902367,3.868340417,1.821428571,0.0
Demeton-S-methyl,Not High,3.070789872,2.8736,7.272408737,1.128409617,0,0.85,29.94123724,35.53,0,0,0.0,0.0,4.148094063,1.833333333,0.0
Desmedipham (Ref: EP 475),Not High,0.0,3.8659,7.68045176,2.586605007,0,-3.02,23.56125269,76.66,2,0,54.59730362,5.749511833,1.694262898,1.590909091,20.96384692
Desmetryn (Ref: G 34360),Not High,1.497363946,1.4555,4.994598612,1.438849454,3,-1.04,23.65856351,62.73,0,0,0.0,0.0,1.237851305,1.785714286,11.89667856
Di-1-p-menthene,Not High,0.0,6.2856,6.286694931,5.686632228,0,-0.52,0.0,0.0,0,0,23.29824927,0.0,3.737035957,1.631578947,0.0
Diafenthiuron (Ref: CGA 106630),Not High,5.560811705,6.8106,8.745509637,4.122858734,0,-2.07,23.0176966,33.29,0,0,53.59147246,11.49902367,3.291384769,1.407407407,5.687386275
Di-allate (Ref: CP 15),Not High,12.29485992,4.2774,7.41934514,1.775423941,1,0.14,40.20297644,20.31,1,0,10.56748828,0.0,2.502347047,1.8,4.794537184
Diazinon (Ref: OMS 469),Not High,5.31843254,3.58472,7.290405124,2.144165703,2,-0.55,18.52546332,53.47,0,0,17.58469956,5.879988336,3.384127713,1.789473684,0.0
Dicamba (Ref: SAN 837H),High,11.35424383,2.7002,3.852472256,1.476784278,0,-0.93,29.17118507,46.53,0,0,27.74145226,5.749511833,1.396345585,1.923076923,0.0
Dichlobenil (Ref: H 133),Not High,11.24540123,2.86508,2.916794426,1.074565684,1,-0.71,23.20187978,23.79,0,0,33.80781932,0.0,1.086589355,1.7,0.0
Dichlofenthion (Ref: ENT 17470),High,17.00530443,4.6697,6.931530107,1.678505671,0,0.17,41.7273431,27.69,0,0,28.24436783,5.749511833,3.662624983,1.764705882,0.0
Dichlofluanid (Ref: BAY 47531),Not High,10.60939342,3.006,5.832698516,1.824426828,2,-0.21,51.04651819,40.62,0,0,30.33183534,0.0,3.869383244,1.722222222,10.07780132
Dichlorophen,Not High,11.70886971,3.9954,4.861181106,2.463985084,0,-1.38,23.20187978,40.46,0,0,57.57037202,11.49902367,1.985926294,1.176470588,0.0
Dichlorprop (Ref: RD 406),High,11.43562315,2.8453,4.529874882,1.54543881,0,-0.93,29.17118507,46.53,0,0,28.24436783,5.749511833,1.264681683,2.142857143,0.0
Dichlorprop-P (Ref: BAS 044H),High,11.43562315,2.8453,4.529874882,1.54543881,0,-0.93,29.17118507,46.53,0,0,28.24436783,5.749511833,1.264681683,2.142857143,0.0
Dichlorvos (Ref: OMS 14),High,10.33415659,2.6804,5.011734618,0.718104749,0,0.27,31.0245769,44.76,0,0,10.75354862,0.0,1.034023438,1.818181818,0.0
Diclofop-methyl (Ref: HOE 023408),Not High,11.87714641,4.726,7.382366798,2.791438775,0,-1.91,29.17118507,44.76,0,0,52.50983611,17.2485355,2.13647024,1.681818182,0.0
Dicloran (Ref: RD 6584),Not High,11.09858025,2.4838,3.1640625,1.274635432,1,-1.0,34.57665233,69.16,0,1,32.29231903,0.0,1.151872712,1.75,11.37477255
Dicofol (Ref: ENT 23648),High,29.70126865,5.5995,5.920643642,2.934238993,0,-0.15,58.00469945,20.23,0,0,69.70310616,0.0,2.782805246,0.95,0.0
Dicrotophos (Ref: OMS 253),High,0.0,1.3959,5.900534456,1.47052021,1,-0.84,13.72987685,65.07,1,0,11.83518498,0.0,1.358313208,1.733333333,0.0
Dicyclopentadiene,High,0.0,2.3846,1.552802392,3.455101994,0,-0.52,0.0,0.0,0,0,24.30408043,0.0,2.972928357,1.9,0.0
Dieldrin (Ref: ENT 16225 ),High,39.52377457,4.4814,3.201411116,5.923293583,0,1.44,69.60563934,12.53,0,0,10.0645727,0.0,8.434422266,1.263157895,0.0
Dienochlor (Ref: SAN 804),High,61.28637692,7.7256,5.739995781,2.840732798,0,1.86,116.0093989,0.0,0,0,40.25829082,0.0,5.488760193,0.55,0.0
Diethofencarb (Ref: S 1605),Not High,0.0,3.4409,7.508325501,2.132533379,0,-1.91,11.78062635,56.79,1,0,18.19910121,11.49902367,1.490259731,1.789473684,10.48192346
Difenacoum,High,0.0,7.0275,8.345977873,7.074584531,0,-4.11,10.96924436,50.44,0,0,135.8021696,5.749511833,5.381110524,1.411764706,0.0
Difenoconazole (Ref: CGA 169374),High,12.47462383,4.6655,7.480395985,4.179741098,3,-2.12,23.20187978,58.4,0,0,70.72792775,11.49902367,3.429392335,1.962962963,0.0
Difenoxuron (Ref: C3470),Not High,0.0,3.581,6.652169302,2.806904457,1,-2.69,11.71850079,50.8,2,0,48.53093655,17.2485355,1.62144019,1.380952381,10.48192346
Difenzoquat (Ref: BAS 450H),Not High,0.0,3.1836,4.729281493,3.559823113,2,-2.35,0.0,8.81,0,0,66.73003775,0.0,2.397703784,1.315789474,0.0
Difethialone (Ref: OMS 3053),High,4.804428317,8.2585,9.102236061,7.138499192,0,-3.21,37.35287391,37.3,0,0,134.0117262,5.063207535,6.624385264,1.457142857,0.0
Diflubenzuron (Ref: OMS 1804),Not High,5.681637467,3.5801,6.319972673,2.518976704,0,-2.47,29.22662041,58.2,3,0,64.68509597,0.0,1.701906381,1.523809524,19.26275355
Diflufenican (Ref: AE 088657),High,0.0,5.4232,7.631142436,3.571001979,1,-3.49,11.594566,51.22,1,0,83.55549185,11.62950017,2.273000392,1.785714286,27.63946151
Dimefox,High,0.0,1.1872,2.77551774,0.986741087,2,0.08,7.754052892,23.55,0,0,0.0,0.0,1.073312629,1.333333333,4.196905633
Dimefuron (Ref: RP 23465),High,6.216151266,2.8699,6.077758894,3.022661784,3,-2.28,23.31944068,80.37,2,0,39.66305845,0.0,1.985606202,2.0,10.48192346
Dimepiperate (Ref: MY 93),Not High,1.448518519,4.2608,5.786705591,3.425717082,1,-0.96,17.00109666,20.31,1,0,35.89528683,0.0,3.259918737,1.722222222,4.794537184
Dimethachlor (Ref: CGA 17020),High,5.64821775,2.52164,6.620987841,2.64379873,1,-1.06,23.19550589,29.54,1,0,29.32600419,0.0,1.991608765,1.941176471,5.687386275
Dimethenamid (Ref: SAN 582H),High,7.328894164,2.97164,6.378868921,2.592031806,1,-0.58,34.53229177,29.54,1,0,15.82066146,0.0,2.861624783,2.235294118,5.687386275
Dimethenamid-P,Not High,7.328894164,2.97164,6.378868921,2.592031806,1,-0.58,34.53229177,29.54,1,0,15.82066146,0.0,2.861624783,2.235294118,5.687386275
Dimethipin (Ref: N 252),High,0.0,0.081,2.56337845,2.049594326,0,-0.36,19.67450627,68.28,0,0,9.810273028,0.0,4.969018748,1.083333333,0.0
Dimethirimol (Ref: PP675),High,0.0,1.48692,4.957368414,2.421510732,2,-1.32,5.948339281,48.99,0,0,21.61118357,0.0,1.454953109,2.066666667,5.948339281
Dimethoate (Ref: OMS 94),High,6.246235828,0.9829,5.937904812,1.079810318,0,0.39,34.78929821,47.56,1,0,0.0,0.0,3.102295145,2.083333333,0.0
Dimethomorph (Ref: CME 151),Not High,6.03204101,3.6477,8.929911803,4.440340936,1,-2.5,23.08122415,48.0,1,0,64.69012588,11.49902367,3.091026776,1.62962963,0.0
Dimoxystrobin (Ref: BAS 505F),Not High,0.0,2.97894,8.150418268,3.624019465,1,-2.82,11.61886473,59.92,1,0,64.71837545,5.749511833,2.318131509,1.916666667,0.0
Dinitramine (Ref: USB 3584),Not High,0.0,2.9502,6.034183187,3.057610541,3,-2.59,22.7495451,115.54,0,1,31.8584551,0.0,2.06938039,1.681818182,35.92079024
Dinobuton (Ref: OMS 1056),Not High,0.0,3.9403,7.521784648,3.150942469,2,-2.71,17.53013818,121.81,0,0,37.92482217,5.749511833,1.858081949,1.782608696,16.16930973
Dinocap (Ref: ENT 24727),Not High,0.0,5.0584,10.27295729,4.017341295,2,-2.77,17.34407784,112.58,0,0,50.07686238,5.749511833,2.641827346,1.884615385,11.37477255
Dinoseb (Ref: HOE 26150),High,0.0,2.7221,4.770617543,2.654848684,2,-2.18,11.37477255,106.51,0,0,37.92482217,5.749511833,1.465814368,1.882352941,11.37477255
Dinoterb (Ref: LS 63133),High,0.0,2.5061,4.00313816,2.290090157,2,-2.18,11.37477255,106.51,0,0,37.92482217,5.749511833,1.420615547,1.647058824,11.37477255
Dioxacarb (Ref: C8353),High,0.0,1.4502,4.9577695,2.201509458,0,-1.59,6.093240071,56.79,1,0,29.82891977,5.749511833,1.457072312,2.0625,4.794537184
Diphacinone,High,0.0,4.083,6.524520863,4.81720751,0,-3.33,17.34973484,51.21,0,0,107.1829449,0.0,3.579955605,1.0,0.0
Diphenamid (Ref: L 34314),Not High,0.0,2.9067,5.496442956,2.9535353,1,-2.09,5.907179729,20.31,1,0,71.79057367,0.0,2.026780959,1.222222222,0.0
Diquat dibromide,High,0.0,-5.0498,5.547279563,2.725529657,2,-0.74,0.0,7.76,0,0,48.79188955,0.0,2.023116257,1.125,0.0
Disulfoton (Ref: ENT 23347),Not High,8.968239796,3.7702,9.492720918,1.255622678,0,1.27,40.64400343,18.46,0,0,0.0,0.0,6.642842515,1.642857143,0.0
Dithianon (Ref: BAS 216F),Not High,1.815975057,2.15134,4.532975012,2.852569944,2,-2.54,33.44602018,81.72,0,0,63.53110917,0.0,4.011697153,1.2,0.0
Dithiopyr (Ref: RH 101664),Not High,1.087676918,5.2429,8.481357422,3.195372882,1,-1.16,33.75432376,47.03,0,0,28.07821046,0.0,3.137831799,1.52,21.95207524
Diuron (Ref: DPX 14740),High,11.50468147,3.0869,4.529874882,1.577052348,1,-0.93,34.92038057,32.34,2,0,28.24436783,0.0,1.107255143,1.928571429,10.48192346
DNOC (Ref: ENT 154),Not High,0.0,1.51702,3.285752424,1.672647938,2,-2.18,11.37477255,106.51,0,0,37.92482217,5.749511833,0.986880867,1.785714286,11.37477255
Dodemorph,High,0.0,4.7689,9.043304374,5.038945837,1,-0.08,0.0,12.47,0,0,0.0,0.0,4.022658741,1.05,0.0
Dodine (Ref: BAS 365F),Not High,0.0,3.2716,17.74,2.806044858,1,-1.26,11.92885986,101.7,0,2,0.0,0.0,1.807396652,1.25,0.0
Endosulfan (Ref: OMS 570),High,36.3513659,3.6898,4.526742856,3.940673681,0,1.55,80.96695583,35.53,0,0,10.0645727,0.0,6.598894658,1.315789474,0.0
Endothal,Not High,0.0,-0.0508,2.697681877,2.84357504,0,-1.1,11.93861058,83.83,0,0,0.0,0.0,2.305300531,1.384615385,0.0
Endrin,High,39.52377457,4.4814,3.201411116,5.923293583,0,1.44,69.60563934,12.53,0,0,10.0645727,0.0,8.434422266,1.263157895,0.0
Epoxiconazole (Ref: BAS 480F),Not High,6.306301598,3.7376,5.43823021,4.078476593,3,-2.24,11.60093989,43.24,0,0,83.15233384,0.0,3.131442454,1.956521739,4.390415048
EPTC (Ref: R 1608),Not High,1.406296296,2.9815,7.468188708,1.513059904,1,-0.18,17.00109666,20.31,1,0,0.0,0.0,1.661073476,1.666666667,4.794537184
Esfenvalerate (Ref: OMS 3023),Not High,5.9640546,6.67998,9.955149659,4.640730822,1,-3.29,17.57024518,59.32,0,0,95.01230819,11.49902367,3.313381515,1.566666667,0.0
Ethaboxam (Ref: LGC 30473),Not High,2.780499584,3.19348,7.199538894,2.798696852,2,-1.91,33.71230997,77.81,1,0,32.96101929,0.0,3.55902051,2.333333333,5.13155848
Ethalfluralin (Ref: EL 161),High,0.0,3.9242,6.629457888,2.949127258,3,-2.65,17.06215882,89.52,0,0,50.07686238,0.0,2.044987171,1.652173913,30.23340397
Ethanethiol,Not High,3.788580247,0.9361,2.35,0.0,0,0.35,12.62878915,0.0,0,0,0.0,0.0,0.0,2.0,0.0
Ethephon,Not High,4.993942901,0.4029,2.675461917,0.375802518,0,0.44,19.19670222,57.53,0,0,0.0,0.0,0.990865553,2.0,0.0
Ethiofencarb (Ref: BAY 108594),High,1.798348214,2.6579,6.347230268,1.841076919,0,-1.16,17.85512502,38.33,1,0,29.82891977,5.749511833,1.748081282,2.2,4.794537184
Ethion (Ref: ENT 24105),High,13.85579218,5.0053,11.41301221,1.570490333,0,1.84,57.76423697,36.92,0,0,0.0,0.0,13.71109964,0.947368421,0.0
Ethirimol (Ref: PP149),Not High,0.0,1.85272,5.534016093,2.354625918,1,-1.32,5.948339281,57.78,0,0,21.61118357,0.0,1.509575303,2.133333333,5.948339281
Ethofumesate (Ref: AE B049913),High,0.0,2.0576,4.683424978,3.034108738,0,-1.27,10.11812686,61.83,0,0,23.7625527,11.49902367,2.57860776,2.052631579,0.0
Ethoprophos,High,2.969351852,4.4174,8.219156144,1.19426357,0,0.89,28.53600745,26.3,0,0,0.0,0.0,7.781117803,1.538461538,0.0
Ethoxyquin,Not High,0.0,3.6927,3.853793111,2.761065548,0,-1.44,11.2604908,21.26,0,0,29.8385728,5.749511833,2.217260375,2.0625,5.687386275
Ethoxysulfuron (Ref: AE F095404),Not High,0.0,1.3378,8.891366986,2.888937779,2,-3.28,22.28361867,137.97,2,0,30.33183534,23.25900034,2.536185313,1.666666667,10.74287647
Etofenprox (Ref: MTI 500),Not High,0.0,6.372,9.426399291,4.555784076,0,-2.78,0.0,27.69,0,0,89.98967487,17.2485355,2.999764023,1.464285714,0.0
Etoxazole (Ref: S 1283),Not High,0.0,5.1791,7.058827542,4.366067659,1,-2.43,5.897745344,30.82,0,0,64.72299857,5.749511833,2.928781382,1.846153846,8.780830095
Etridiazole (Ref: Olin 2424),Not High,17.65139172,2.7635,3.958771808,0.928752474,2,0.23,46.33530628,35.01,0,0,5.824404498,5.193684038,1.550864925,2.166666667,0.0
Etrimfos,High,5.116974233,2.3338,6.991126142,1.986445836,2,-0.75,18.52546332,62.7,0,0,11.89077157,11.75997667,1.989769656,1.777777778,0.0
Famoxadone (Ref: JE 874),Not High,0.0,4.7,7.075250613,4.483986902,1,-3.8,17.68780607,67.87,2,0,90.49259045,11.49902367,2.946422041,1.392857143,10.48192346
Fenamidone (Ref: RPA 407213),Not High,1.671529326,4.23832,7.34163599,2.307271062,0,-0.48,19.50837338,47.56,0,0,23.7625527,5.749511833,3.751085072,2.105263158,0.0
Fenamiphos (Ref: BAY 68138),Not High,12.2654761,4.0676,6.048272535,3.503992422,2,-1.94,23.20187978,46.01,0,0,93.98756487,0.0,2.8077848,1.454545455,0.0
Fenarimol (Ref: EL 222),Not High,0.0,4.5488,6.367983755,3.955747051,2,-2.42,10.90292493,35.01,0,0,65.98515961,5.879988336,2.532101754,1.652173913,0.0
Fenazaquin (Ref: DE 436),Not High,5.948858741,4.02588,7.287380627,4.192593528,4,-2.64,11.60093989,54.5,0,0,83.40148006,0.0,2.953387597,1.833333333,0.0
Fenbutatin oxide (Ref: ENT 27738),High,29.09497751,4.099,5.578663667,2.189895328,3,-0.72,63.97400474,68.01,0,0,39.89317683,0.0,2.262660873,1.9,0.0
Fenchlorazole (Ref: HOE 072829),High,11.52892511,3.4504,3.945211146,1.695614617,2,-1.12,23.20187978,25.78,0,0,46.70442204,0.0,1.529149844,1.428571429,0.0
Fenclorim (Ref: CGA 123407),Not High,11.87372517,4.6079,5.594746965,3.815408757,0,-0.93,34.79644578,49.33,1,0,22.17800076,5.749511833,2.840026228,1.842105263,5.687386275
Fenhexamid (Ref: KBR 2738),Not High,5.02458559,2.79932,5.550845241,2.029380562,1,-1.01,24.2128496,70.83,0,0,33.87687097,5.749511833,2.09586057,1.941176471,5.687386275
Fenitrothion (Ref: OMS 43),Not High,17.21681126,3.4987,4.923657698,1.626321257,0,-0.64,40.77212496,46.53,0,0,27.20063408,5.749511833,1.416859139,1.8,0.0
Fenoprop,Not High,1.362225949,3.2604,8.008372844,2.141294771,1,-1.16,17.00109666,29.54,1,0,30.33183534,5.749511833,1.980723802,1.941176471,4.794537184
Fenothiocarb (Ref: KCO 3001),Not High,5.913588535,4.6039,7.441265127,3.291137987,1,-2.73,28.66996604,70.79,0,0,47.48720279,17.57580793,2.281979762,1.92,0.0
Fenoxaprop-ethyl,Not High,5.913588535,4.6039,7.441265127,3.291137987,1,-2.73,28.66996604,70.79,0,0,47.48720279,17.57580793,2.281979762,1.92,0.0
Fenoxaprop-P-ethyl (Ref: AE F046360),Not High,0.0,3.6038,8.56442459,2.718200094,0,-2.69,6.093240071,56.79,1,0,54.59730362,17.2485355,1.732630424,1.590909091,4.794537184
Fenoxycarb (Ref: OMS 3010),Not High,11.95957719,3.86018,3.976796906,2.107731109,1,-1.43,23.20187978,39.58,0,0,46.20150647,0.0,1.79331187,1.933333333,0.0
Fenpiclonil (Ref: CGA 142705),High,0.0,5.26898,6.493107039,5.747436614,1,-2.8,5.969305288,59.32,0,0,60.16075511,11.49902367,3.504488244,1.615384615,0.0
Fenpropathrin (Ref: OMS 1999),Not High,0.0,4.6486,6.757066924,4.422680968,1,-0.82,0.0,3.24,0,0,35.39237126,0.0,3.190494826,1.6,0.0
Fenpropidin (Ref: CGA 114900),High,0.0,4.2719,7.142522025,4.469230637,1,-0.86,0.0,12.47,0,0,35.39237126,0.0,3.481983772,1.636363636,0.0
Fenpropimorph (Ref: CGA 101031),Not High,0.0,5.02682,9.467557661,4.247921227,3,-3.61,12.18390587,74.94,0,0,76.98158609,11.62950017,2.799039472,1.774193548,0.0
Fenpyroximate (Ref: NNI 850),Not High,6.828654783,3.61302,6.031188449,2.030737715,0,-0.06,30.28734827,27.69,0,0,23.7625527,5.749511833,2.699005605,1.875,0.0
Fentin hydroxide,High,0.0,1.7801,3.758873355,1.431240355,1,-1.51,11.71850079,32.34,2,0,30.33183534,0.0,0.756764872,1.833333333,10.48192346
Fenuron,High,5.9640546,6.67998,9.955149659,4.640730822,1,-3.29,17.57024518,59.32,0,0,95.01230819,11.49902367,3.313381515,1.566666667,0.0
Ferbam (Ref: ENT 14689),Not High,11.47935377,4.27918,6.639263393,2.933442598,3,-1.97,39.8193116,84.7,0,1,33.43538025,0.0,3.307504766,1.653846154,32.16035306
Fipronil (Ref: BAS 350l),Not High,5.848047603,4.466,8.119132653,3.501160163,1,-2.4,29.16481118,46.61,1,0,64.93424219,0.0,2.482418159,1.72,10.07780132
Flamprop-M-isopropyl (Ref: WL 43425),Not High,0.0,1.418,7.608501178,2.880913057,3,-3.16,22.00274495,132.4,2,0,29.95939627,11.75997667,2.851800053,1.740740741,23.91412161
Flazasulfuron (Ref: OK 1166),High,0.0,7.9583,10.22516767,7.623642952,0,-4.52,10.96924436,59.67,0,0,140.8627055,11.49902367,5.595610198,1.575,13.17124514
Flocoumafen (Ref: BAS 322l),High,0.0,1.35378,4.612936542,1.699102408,2,-2.1,5.907179729,65.78,1,0,29.5869572,0.0,1.037622625,2.25,13.17124514
Flonicamid (Ref: IKI 220),High,0.0,1.351,5.632205182,2.892974407,4,-2.89,21.35785465,98.48,0,0,41.8476073,6.01046484,2.784625617,1.833333333,18.85863142
Florasulam (Ref: DE 570),High,0.0,5.0033,9.249171852,3.496822107,1,-2.77,5.969305288,57.65,0,0,48.15849747,17.379012,2.002041429,1.777777778,13.17124514
Fluazifop-butyl (Ref: SL 236),Not High,0.0,5.0033,9.249171852,3.496822107,1,-2.77,5.969305288,57.65,0,0,48.15849747,17.379012,2.002041429,1.777777778,13.17124514
Fluazifop-P-butyl (Ref: R154875),Not High,11.05003701,5.986,7.51344787,3.314955029,3,-2.87,46.08190138,111.2,0,0,59.73038386,0.0,2.617900024,1.551724138,49.22251189
Fluazinam (Ref: IKF 1216),Not High,8.667988141,5.2261,6.950874359,3.132426257,2,-1.61,33.50018908,44.12,0,0,38.70268729,0.0,3.144357309,1.96,17.56166019
Fluazolate,High,5.957416993,5.911,10.43619691,5.126841475,1,-3.78,34.93830541,79.79,3,0,100.0774672,0.0,3.369703688,1.617647059,19.26275355
Flucycloxuron (Ref: OMS 3041),High,0.0,6.62798,11.0954018,4.875995272,1,-3.92,5.969305288,68.55,0,0,89.98967487,17.2485355,3.373876981,1.515151515,8.780830095
Flucythrinate (Ref: OMS 2007),Not High,0.0,2.87488,3.469187063,2.58469929,1,-2.55,0.0,58.04,0,0,36.15623984,11.49902367,1.860406893,2.0,8.780830095
Fludioxonil (Ref: CGA 173506),Not High,0.209914917,3.5164,7.118487289,2.857966126,3,-2.23,22.93135188,55.32,1,0,35.09031281,5.193684038,2.469761299,1.875,23.24904647
Flufenacet (Ref: FOE 5043),Not High,5.777096736,6.5303,9.408597283,4.092652556,0,-3.73,29.22662041,67.43,3,0,88.19850244,11.49902367,2.800632928,1.545454545,36.82441374
Flufenoxuron (Ref: BAS 3071),High,6.010452819,3.5322,5.492887816,2.780014793,4,-2.47,11.60093989,51.56,0,0,59.12164448,0.0,2.011413342,1.285714286,8.780830095
Diflovidazin (Ref: SZ1 121),Not High,0.0,1.51172,4.982787733,2.766677806,4,-2.62,21.48833115,89.25,0,0,47.79068152,0.0,2.687191386,1.818181818,14.46821637
Flumetsulam (Ref: DE 498),High,0.0,1.9281,5.986929955,4.85202909,2,-3.14,29.09631174,66.92,3,0,29.09616404,5.749511833,3.605141096,1.730769231,15.7651876
Flumioxazin (Ref: S 53482),Not High,0.0,2.7989,4.422334219,1.847349202,1,-1.72,11.71850079,32.34,2,0,29.82891977,0.0,1.008556543,1.9375,23.6531686
Fluometuron,High,17.55432635,4.9906,6.94597906,2.850924012,1,-1.5,40.7099994,41.99,1,0,62.35104276,0.0,2.52070531,1.739130435,13.17124514
Fluopicolide (Ref: AE C638206),High,0.0,-0.5588,1.694117647,0.131706148,0,-0.6,5.907179729,43.09,1,1,0.0,0.0,0.0,2.2,4.390415048
Fluoroacetamide,High,5.76384641,4.3007,8.128508271,3.198382243,1,-3.34,29.22693674,115.97,0,0,62.66205698,11.49902367,2.212403128,1.857142857,18.85863142
Fluoroglycofen,Not High,6.074785895,4.5645,9.924587039,4.063620279,4,-3.92,23.21037024,96.65,0,0,71.26156227,23.25900034,2.854805594,1.6875,4.390415048
Flupyrsulfuron-methyl-sodium,High,12.19531565,3.4123,5.944744088,3.586843158,5,-2.77,34.10480471,65.6,0,0,75.26913411,0.0,2.984010928,1.92,4.390415048
Fluquinconazole (Ref: AE C597265),High,5.876732529,4.1723,5.802301131,2.26772208,1,-1.6,28.90703106,39.19,0,0,50.93316754,0.0,2.43481994,1.95,13.17124514
Flurazole (Ref: MON 4606),Not High,0.0,4.7381,5.998279483,3.7404152,1,-2.82,0.0,22.0,0,0,82.77776983,0.0,2.598905861,1.416666667,13.17124514
Fluridone,Not High,11.58655066,3.5144,5.210493864,3.016255694,1,-0.94,34.79644578,20.31,1,0,29.82891977,0.0,2.630858422,2.052631579,18.85863142
Flurochloridone (Ref: R 40244),Not High,10.99618012,1.5731,4.499562176,1.373890409,1,-1.27,34.85857134,85.44,0,1,15.99296397,5.879988336,1.112146516,2.133333333,10.07780132
Fluroxypyr (Ref: DOW 43304-H),High,0.0,3.2671,5.920643642,3.364226611,2,-2.15,0.0,55.24,0,0,54.11337848,5.749511833,2.239947492,1.545454545,13.17124514
Flurprimidol (Ref: EL 500),Not High,0.0,3.934,6.033215583,3.755253453,0,-2.76,11.35634948,38.33,0,0,77.17075775,0.0,2.628841322,1.75,13.17124514
Flurtamone (Ref: RPA 590515),Not High,0.0,1.9885,5.804046317,3.907521444,3,-2.343116883,18.44732359,30.71,0,0,72.82001838,0.0,5.937601986,1.409090909,8.780830095
Flusilazole (Ref: DPX H6573),High,11.20682198,4.7212,6.695183505,2.961335688,1,-2.04,44.59994348,89.31,0,0,62.1212388,0.0,3.401124425,1.68,24.54601769
Flusulfamide (Ref: MTF 651),Not High,0.0,4.7449,6.726001512,2.940780452,0,-2.5,11.594566,38.33,1,0,59.65783953,5.749511833,2.046068095,1.782608696,18.85863142
Flutolanil (Ref: NNF 136),High,0.0,2.4924,5.650111566,3.498612086,3,-2.6,0.0,50.94,0,0,83.94692136,0.0,2.403008115,1.772727273,8.780830095
Flutriafol (Ref: PP 450),High,17.17095711,3.2585,4.109187739,1.951591592,1,-0.42,58.5651021,37.38,2,0,35.39237126,0.0,2.544151367,1.4375,0.0
Folpet,Not High,5.764699384,3.7487,7.637221742,3.174449115,1,-2.86,33.21879705,115.61,1,0,62.66205698,11.49902367,2.69582963,1.857142857,18.85863142
Fomesafen (Ref: PP 021),High,7.255402494,4.1446,5.915919136,1.70079387,0,0.18,28.65518369,9.23,0,0,30.33183534,0.0,5.659890539,1.928571429,0.0
Fonofos (Ref: N-2790),Not High,0.0,0.2743,9.70730454,3.683123246,3,-3.94,40.00740626,168.92,4,0,29.82891977,11.75997667,3.425171932,1.677419355,16.43026274
Foramsulfuron (Ref: AE F130360),High,5.705672228,3.379,5.316302806,2.016092767,1,-2.07,29.00682695,54.02,2,0,53.81452287,0.0,1.469039073,1.764705882,16.16930973
Forchlorfenuron (Ref: KT 30),High,0.0,-0.1849,0.67,0.0,0,-0.33,6.7890761,17.07,0,0,0.0,0.0,0.0,1.5,0.0
Formaldehyde,High,0.0,1.6262,5.747178635,1.670038426,2,-2.04,18.11916171,53.93,1,0,24.26546827,5.749511833,0.967509129,2.25,10.48192346
Formetanate (Ref: SN 36056),Not High,6.123119803,0.8517,6.526490931,1.344859068,1,0.06,41.19939352,55.84,2,0,0.0,0.0,3.219359604,2.071428571,0.0
Formothion (Ref: SAN 6913I),High,0.0,0.287,2.96088757,0.582593532,0,-0.38,13.24403046,89.62,1,1,0.0,0.0,0.715828471,2.333333333,4.794537184
Fosetyl-aluminium (Ref: RP 32545),High,2.511909722,3.8315,6.335144089,2.21536681,1,0.36,35.10424026,46.61,1,0,0.0,0.0,7.613034904,2.3125,4.794537184
Fosthiazate (Ref: IKI 1145),Not High,0.0,2.8229,2.734266329,2.14394424,1,-2.03,11.03340144,41.82,0,0,42.66136541,0.0,1.482797002,2.0,0.0
Fuberidazole,Not High,0.0,3.10474,6.471102316,3.560751663,1,-2.56,17.56387129,59.75,1,0,53.48214874,0.0,2.451655518,1.772727273,5.687386275
Furalaxyl (Ref: IPE 134),Not High,0.902881065,4.2624,8.528625294,3.734844073,2,-2.09,24.32044113,68.31,2,0,23.7625527,11.49902367,3.061895782,1.923076923,9.589074368
Furathiocarb (Ref: CGA 73102),Not High,0.0,1.0921,1.598931215,0.659336941,0,-1.05,6.286160523,30.21,0,0,24.15614455,0.0,0.358319304,2.571428571,0.0
Furfural,High,5.319767599,6.54398,8.637870733,5.252317973,1,-2.98,17.57024518,59.32,0,0,71.26906157,11.49902367,3.550919479,1.806451613,13.17124514
