,Environmental fate,Ecotoxicity,Human health,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
DDE (Ref: HSDB 1625),High,High,High,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,5.328333333,5.328333333,0.14,0.14,0.654266154,9.272727273,155.157,146.085,155.0694765,60,0.226139407,-0.480765593,0.480765593,0.226139407,1.181818182,1.636363636,2.0,16.48453523,10.57697716,1.998235596,-2.014904713,2.142873284,-1.988377639,5.285927018,0.372897604,2.030157631,3.017312593,229.3327534,8.267584714,6.36562431,6.36562431,5.257550155,2.985197466,2.985197466,1.810866881,1.810866881,1.114713004,1.114713004,0.630116431,0.630116431,-1.52,324.825221,7.585485232,3.046280408,1.69827783,64.16756447,15.20739338,0.0,0.0,17.70831595,0.0,0.0,0.0,0.0,9.967957042,0.0,0.0,0.0,0.0,20.28596215,9.473725908,5.948339281,0.0,9.967957042,0.0,0.0,19.95326256,6.066367068,11.75997667,15.20739338,5.948339281,11.75997667,0.0,24.18755212,0.0,0.0,0.0,6.066367068,0.0,0.0,70.26,0.0,0.0,0.0,5.948339281,11.75997667,0.0,14.21959508,6.066367068,0.0,9.967957042,15.20739338,9.652777778,0.0,7.529444444,0.0,5.328333333,0.935092593,1.551944444,0.0,0.0,3.002407407,0.333333333,11,2,5,0,0,0,0,1,1,5,1,5,2,0,0,0,1,0.076,39.5484,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD (Ref: ENT 4225),High,High,High,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,11.51245748,11.51245748,0.311388889,-0.932199074,0.640033414,25.78571429,189.2024336,179.1224336,189.0856612,72,0.322135409,-0.319587815,0.322135409,0.319587815,1.142857143,1.785714286,2.285714286,16.17248334,9.711044295,2.425456922,-2.19993742,2.22862044,-2.399049012,6.066360433,-0.123212762,2.432970205,2.428660429,388.3682887,10.18179828,7.703247927,7.703247927,6.62684565,4.318931893,4.318931893,3.399273694,3.399273694,2.395856592,2.395856592,1.517941279,1.517941279,-1.84,1965.839925,8.744806127,2.834461451,1.155646808,81.30810899,5.316788604,5.538925252,0.0,0.0,5.907179729,6.031114512,10.11132579,4.794537184,0.0,0.0,30.33183534,12.48718869,0.0,0.0,9.589074368,11.93829424,0.0,10.63357721,0.0,12.46266245,0.0,35.89528683,0.0,10.63357721,4.794537184,0.0,0.0,11.93829424,10.33346244,0.0,12.48718869,30.33183534,0.0,0.0,58.2,11.57003976,9.589074368,0.0,5.907179729,0.0,5.563451492,0.0,6.9237372,30.33183534,10.63357721,0.0,0.0,0.0,22.51181689,4.813583711,-0.151319444,-0.311388889,8.704205877,0.0,1.683101852,0.0,0.2,14,2,4,0,1,1,1,0,1,2,2,4,1,0,1,1,2,0.7412,50.4684,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Decamethrinic acid (Ref: AE F108565),High,High,Not High,CC1(C(C1C(=O)O)C=C(Br)Br)C,12.50756645,12.50756645,0.031575001,-3.381910037,0.781583796,13.5,319.363,297.187,319.1007158,114,0.458438966,-0.413170214,0.458438966,0.413170214,1.4,2.05,2.5,32.19713487,10.21725723,2.265718851,-2.211437305,2.444897435,-2.233035929,7.839314054,0.265417498,2.262550357,2.972271723,533.102483,15.33649881,12.50496291,14.21588668,9.270674708,6.431684063,9.532420979,4.671757177,7.713739991,2.397050251,5.356412267,1.716137911,4.031587189,-0.68,15249.58941,17.37175983,7.363085689,5.017990128,122.6563546,4.523747162,5.749511833,0.0,0.0,0.0,7.746488431,8.732645654,9.652343348,0.0,0.0,0.0,51.4575015,17.19309349,17.40645101,17.8214411,18.54605747,0.0,5.087295063,0.0,38.6322731,12.86265115,23.7625527,5.749511833,9.611042225,0.0,5.749511833,7.746488431,23.11339047,19.88836449,6.9237372,26.33466309,23.09458468,0.0,0.0,64.63,18.54605747,8.773946777,0.0,12.64872279,5.749511833,10.45893497,0.0,31.37860759,20.7712116,5.087295063,9.047494323,34.71281367,0.0,0.736491638,2.813580483,0.82956365,0.432067901,5.046061683,1.619316382,7.609053069,-4.437837363,0.538461538,20,1,5,0,0,0,1,0,1,4,1,7,7,0,0,0,1,3.25382,81.6436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethyl 3-hydroxycarbamate,Not High,Not High,High,CCOC(=O)NC1=CC(=CC=C1)O,11.04759259,11.04759259,0.181157407,-0.181157407,0.600350962,10.18181818,146.149,140.101,146.0480128,54,0.279992971,-0.345602943,0.345602943,0.279992971,1.272727273,2.090909091,2.909090909,16.138041,10.23596055,1.935447111,-1.91543142,2.017832288,-2.04758138,5.761133659,1.171331402,2.05595014,3.030789901,427.7901459,7.681798276,5.742213232,5.742213232,5.377010098,3.301955237,3.301955237,2.253272803,2.253272803,1.55932937,1.55932937,1.02546302,1.02546302,-1.64,505.7637346,6.094932395,2.196104624,0.9022145,62.71388571,4.983978521,0.0,0.0,0.0,5.559266895,0.0,4.794537184,0.0,4.983978521,0.0,12.13273414,12.13273414,0.0,17.23024501,0.0,10.90292493,0.0,9.967957042,0.0,0.0,0.0,40.94659243,0.0,5.559266895,0.0,0.0,0.0,9.967957042,0.0,0.0,0.0,35.38732553,0.0,10.90292493,45.75,0.0,4.794537184,0.0,5.559266895,5.386224214,5.516700718,6.327320075,6.066367068,18.19910121,9.967957042,0.0,0.0,0.0,17.52430556,0.634259259,0.645231481,0.0,7.288796296,1.407407407,0.0,0.0,0.0,11,1,3,0,0,0,1,1,2,2,1,3,0,0,0,0,2,0.9231,42.3637,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyrimidinol (Ref: GS-27550),High,Not High,Not High,CC1=CC(=O)N=C(N1)C(C)C,10.25698224,10.25698224,0.03037037,-0.477407407,0.491999925,9.545454545,153.137,146.081,153.0425931,58,0.272065128,-0.507947719,0.507947719,0.272065128,1.545454545,2.181818182,2.636363636,16.62834081,10.17656694,2.082697319,-1.953810978,2.209197358,-1.895273576,5.430419056,-0.385017402,1.853730746,3.196069662,295.7372023,8.43072142,5.942974579,5.942974579,5.109060905,3.050395839,3.050395839,2.227899355,2.227899355,1.377072687,1.377072687,0.844489061,0.844489061,-1.58,252.1073814,7.526157113,2.574037504,1.459531257,63.24355471,5.106527395,5.749511833,0.0,0.0,5.687386275,0.0,10.11431827,0.0,0.0,0.0,0.0,19.05647134,11.62981856,4.923311049,10.02983844,5.687386275,0.0,0.0,0.0,6.9237372,0.0,33.87687097,5.749511833,0.0,5.687386275,5.749511833,0.0,10.02983844,0.0,17.03805547,5.563451492,18.19910121,0.0,0.0,63.37,4.923311049,10.11431827,0.0,11.43689811,5.563451492,0.0,18.19910121,6.9237372,0.0,0.0,5.106527395,0.0,0.0,9.77957483,19.15366591,0.497962963,0.049166667,3.938425926,0.0,1.581203704,0.0,0.142857143,11,1,4,0,0,0,1,0,1,3,1,4,1,0,0,0,1,1.60882,39.4982,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,6-dichlorosalicylic acid (Ref: NOA 414746)",Not High,Not High,Not High,C1=CC(=C(C(=C1Cl)C(=O)O)O)Cl,11.38236286,11.38236286,0.559012346,-2.704248,0.781156573,13.41176471,294.334,279.214,294.0149376,96,0.379519593,-0.424129948,0.424129948,0.379519593,1.294117647,1.882352941,2.294117647,32.45300162,10.21725943,2.183475771,-2.182733634,2.478335461,-1.980995821,8.072832568,0.272898621,2.281673036,2.989649487,467.373744,13.05204176,10.12875415,12.6561745,7.914832661,4.767990444,8.88210725,3.285076505,7.782090108,2.120516904,5.644846215,1.279378459,2.979507722,-0.26,4608.979534,14.79973716,6.067897917,3.861582165,108.9859896,13.57124149,5.749511833,0.0,0.0,0.0,6.718607232,4.208898492,0.0,0.0,0.0,0.0,30.6862899,37.17770383,10.79956904,17.78013998,29.32503236,0.0,0.0,0.0,11.81922068,20.47536427,23.7625527,5.749511833,4.523747162,0.0,5.749511833,6.718607232,24.68426276,31.65391945,6.9237372,5.563451492,23.09458468,0.0,0.0,44.76,17.51817628,4.208898492,0.0,0.0,5.749511833,10.45893497,14.21959508,24.45487039,6.9237372,0.0,25.37809757,26.94063336,5.098466763,0.778227198,0.0,0.886193941,0.559012346,5.240493827,1.636456299,-0.836492268,1.891452979,0.4,17,0,4,0,0,0,1,0,1,5,0,7,5,0,0,0,1,2.62852,72.4424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimethylaminosulfanilide,High,Not High,Not High,CN(C)S(=O)(=O)NC1=CC=CC=C1,13.16977986,13.16977986,0.034639078,-4.763644534,0.911926555,11.04166667,343.265,331.169,343.0892239,128,0.419485875,-0.480765239,0.480765239,0.419485875,1.208333333,1.791666667,2.25,19.41318954,10.21128996,2.375810722,-2.211407304,2.369516327,-2.347717187,5.960130533,-0.136754039,2.534610289,2.66957589,731.6224046,17.90541292,12.53424402,12.53424402,11.27340547,6.364236203,6.364236203,4.298644257,4.298644257,2.809884791,2.809884791,1.795515278,1.795515278,-3.11,165066.4951,17.24711595,6.561013812,3.445338668,133.5921529,15.20739338,0.0,5.817862778,17.70831595,0.0,12.20741303,0.0,14.67842544,23.13920218,0.0,0.0,12.13273414,6.196843572,25.84941364,27.43950823,17.79731657,0.0,14.95193556,5.733667477,6.176298517,19.11950481,29.95939627,11.75997667,20.10730312,29.73198439,11.75997667,0.0,35.20264516,6.176298517,0.0,5.563451492,24.39594478,0.0,0.0,103.46,29.53706658,17.96578233,0.0,11.75997667,4.899909731,18.32957771,20.28596215,0.0,0.0,14.95193556,15.20739338,49.32556004,0.0,23.43081349,0.0,4.041945389,-1.29547619,1.869869733,-3.682377055,0.0,2.559664588,0.230769231,24,2,8,0,0,0,0,2,2,6,1,11,4,0,0,0,2,2.1244,76.0974,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"2,4-dichlorophenol",Not High,High,High,C1=CC(=C(C=C1Cl)Cl)O,12.2187037,12.2187037,0.603912037,-4.781712963,0.767337603,12.85714286,226.179,221.139,226.0023831,78,0.418744132,-0.242906422,0.418744132,0.242906422,1.357142857,1.928571429,2.285714286,32.23312554,10.26863442,2.364671754,-2.085612675,2.316556232,-2.198692023,7.886928335,-0.139866956,2.01155535,3.467977274,440.6349933,10.98312766,6.615252963,7.431749544,6.227180183,3.277253937,4.823573415,2.398883436,3.875600304,1.346055201,2.21037591,0.833285609,1.531362248,-1.15,782.4950312,10.92782101,3.208970378,2.204952898,77.61326601,0.0,0.0,5.025959979,0.0,10.02329115,6.176298517,0.0,18.54074924,13.17124514,0.0,0.0,12.13273414,6.196843572,5.563451492,21.58904213,10.02329115,0.0,4.983978521,5.138973738,11.2022585,0.0,23.8930292,0.0,5.138973738,13.17124514,0.0,0.0,13.40177551,16.19958967,0.0,5.563451492,23.35553769,0.0,0.0,73.05,26.78900114,21.58904213,0.0,0.0,6.066367068,12.26321064,0.0,0.0,0.0,10.12295226,0.0,58.08740741,0.0,3.083449074,3.404259259,-1.358796296,0.0,1.587546296,-3.856134259,0.0,-4.447731481,0.166666667,14,2,4,0,0,0,0,1,1,3,1,8,1,0,0,0,1,0.7478,40.6122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Diclofop (Ref: AE F021079),Not High,Not High,Not High,CC(C(=O)O)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)Cl,12.87181311,12.87181311,0.11537037,-4.542116756,0.935845598,11.0952381,300.24,289.152,300.0834103,112,0.419462985,-0.48076542,0.48076542,0.419462985,1.095238095,1.714285714,2.238095238,19.41318542,10.22770698,2.33912117,-2.125660168,2.340209979,-2.109717488,5.544346807,-0.136652951,2.458766506,2.386953289,611.8898707,15.45781916,11.10143186,11.10143186,9.935201516,5.70061653,5.70061653,3.79860319,3.79860319,2.440735409,2.440735409,1.508532219,1.508532219,-2.58,45081.48388,14.8213402,5.814954342,3.496191126,117.5158265,14.79051451,5.817862778,0.0,17.70831595,0.0,6.176298517,0.0,4.983978521,23.13920218,0.0,0.0,12.13273414,6.196843572,25.84941364,22.64497105,11.76620206,0.0,14.95193556,0.0,6.176298517,19.53638369,29.95939627,11.75997667,14.79051451,24.9374472,11.75997667,0.0,29.17153065,6.176298517,0.0,5.563451492,24.39594478,0.0,0.0,69.16,17.55761279,13.17124514,0.0,17.70831595,0.0,6.066367068,32.54917279,0.0,0.0,20.26872417,9.473725908,48.45307327,0.0,11.43169643,2.415162037,-0.920938209,-0.223716931,3.502013535,-3.310988166,0.0,2.737031368,0.25,21,1,6,0,0,0,0,2,2,6,1,9,4,0,0,0,2,2.6512,67.6577,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Endosulfan sulfate,Not High,High,High,C1C2C(COS(=O)(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,10.5787037,10.5787037,2.756944444,-5.083333333,0.501116333,11.28571429,114.022,113.014,113.9928639,42,0.490240318,-0.474581172,0.490240318,0.474581172,1.428571429,1.571428571,1.571428571,19.41347752,10.68908932,2.37793207,-1.93291078,2.125476694,-2.205506156,5.725843496,-0.192461792,1.314320487,3.791118417,83.42592197,6.077350269,2.989355305,2.989355305,2.943375673,1.244677652,1.244677652,0.802911633,0.802911633,0.242500651,0.242500651,0.0,0.0,-0.74,17.08616633,6.26,1.399087407,2.020456274,36.5565552,5.106527395,0.0,0.0,0.0,0.0,12.14560381,0.0,4.794537184,13.17124514,0.0,0.0,0.0,0.0,0.0,23.07230972,5.969305288,0.0,0.0,0.0,6.176298517,0.0,0.0,0.0,0.0,13.17124514,0.0,0.0,17.2521312,4.794537184,0.0,0.0,0.0,0.0,0.0,37.3,12.14560381,13.17124514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.901064579,31.73611111,0.0,8.895833333,7.125,0.0,-2.756944444,0.0,-5.083333333,0.0,0.0,0.5,7,1,2,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0.6333,13.6908,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-amino-4,6-dimethoxypyrimidine (Ref: AE-F092944)",Not High,Not High,Not High,COc1cc(OC)nc(N)n1,12.03835412,12.03835412,0.365902778,-4.494583333,0.737705964,11.30769231,190.12,185.08,190.0241641,70,0.415935303,-0.477639099,0.477639099,0.415935303,1.307692308,1.923076923,2.384615385,19.41317051,10.11958237,2.30252083,-2.056125145,2.288719741,-2.063958072,5.872577539,-0.13714595,2.02921487,3.131063794,330.4061785,10.06047793,6.298756382,6.298756382,5.909702168,3.316044858,3.316044858,2.383716226,2.383716226,1.436848491,1.436848491,0.828552932,0.828552932,-1.52,606.7352462,9.567108014,3.082443328,2.206729259,71.61364941,5.106527395,0.0,0.0,0.0,0.0,12.14560381,0.0,4.794537184,13.17124514,0.0,6.066367068,18.19910121,0.0,11.12690298,23.07230972,5.969305288,0.0,0.0,0.0,6.176298517,0.0,35.39237126,0.0,0.0,13.17124514,0.0,0.0,11.07583268,6.176298517,0.0,15.92144017,24.26546827,0.0,0.0,37.3,17.7090553,17.96578233,0.0,5.563451492,6.066367068,18.19910121,0.0,0.0,0.0,0.0,5.106527395,36.11506236,0.0,10.31275699,8.407643613,-1.317384259,-1.369351852,3.595856481,-4.494583333,0.0,0.0,0.125,13,1,2,0,0,0,1,0,1,1,1,5,1,0,0,0,1,2.4036,38.4033,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(S)-5-methyl-5-phenylimidazolidine-2,4-dione (Ref: RPA 412636)",High,Not High,Not High,CC1([11C](=O)NC(=O)N1)C2=CC=CC=C2,10.94398148,10.94398148,0.30037037,-0.30037037,0.545102813,14.54545455,147.133,142.093,147.0320284,54,0.258423667,-0.288137122,0.288137122,0.258423667,0.909090909,1.363636364,1.818181818,16.17253404,10.11920502,2.245291291,-1.879998426,2.130018163,-2.193598754,6.208872057,0.087943799,2.298182054,2.694677255,310.7002242,7.844934983,5.625897658,5.625897658,5.2876937,3.23559856,3.23559856,2.328832072,2.328832072,1.643378278,1.643378278,1.116902832,1.116902832,-1.64,517.0909622,6.094932395,1.919461806,0.741170307,63.02836258,0.0,0.0,0.0,0.0,11.81435946,0.0,14.90586297,0.0,0.0,0.0,12.13273414,12.13273414,0.0,11.12690298,9.589074368,11.81435946,0.0,5.316788604,0.0,0.0,0.0,35.39237126,0.0,5.316788604,0.0,0.0,0.0,11.81435946,0.0,0.0,20.71597735,24.26546827,0.0,0.0,46.17,0.0,9.589074368,0.0,11.81435946,11.12690298,0.0,0.0,24.26546827,0.0,5.316788604,0.0,0.0,0.0,21.88796296,2.204351852,0.939814815,-0.600740741,6.735277778,0.0,0.0,0.0,0.0,11,1,3,0,1,1,1,0,1,2,1,3,0,0,0,0,2,0.5702,38.2387,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fenamiphos sulfoxide,Not High,High,Not High,CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)S(=O)C)C,10.68509259,10.68509259,0.032407407,-1.148703704,0.668447245,9.333333333,165.148,158.092,165.0425931,62,0.335999885,-0.477621124,0.477621124,0.335999885,1.166666667,1.666666667,2.0,16.36571251,10.08227731,2.114538477,-1.988018284,2.064723372,-2.152876575,6.03473263,0.069179445,2.04012373,3.267076196,299.8297872,9.137828202,6.150461522,6.150461522,5.625897658,3.247880492,3.247880492,2.214987117,2.214987117,1.422932176,1.422932176,0.884474654,0.884474654,-1.84,475.348829,8.258425197,3.04193048,1.420632142,68.618456,10.84019487,0.0,0.0,5.907179729,0.0,5.969305288,4.794537184,4.794537184,0.0,0.0,12.13273414,12.13273414,0.0,11.12690298,14.69560176,11.87648502,0.0,0.0,5.733667477,0.0,0.0,35.39237126,0.0,5.733667477,0.0,0.0,0.0,16.98301241,0.0,0.0,20.71597735,24.26546827,0.0,0.0,80.39,11.87648502,9.589074368,0.0,11.12690298,0.0,0.0,18.19910121,6.066367068,0.0,0.0,10.84019487,0.0,0.0,21.20351852,8.606759259,4.917685185,-1.877407407,5.816111111,0.0,0.0,0.0,0.0,12,3,4,0,0,0,1,0,1,2,2,4,2,0,0,0,1,0.4837,41.9192,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4-hydroxyquinazoline,Not High,Not High,Not High,C1=CC=C2C(=C1)C(=O)N=CN2,7.895,7.895,0.03125,0.03125,0.505700442,10.0,92.525,87.485,92.00289246,30,0.062336152,-0.392263982,0.392263982,0.062336152,1.8,2.4,2.4,35.49562261,10.71287345,1.539987244,-1.644622502,1.716720673,-1.641039849,6.248585163,0.34269699,1.405639062,2.622415808,33.87430298,4.121320344,2.686985388,3.442914334,2.414213562,1.27602728,1.712463061,0.544264604,0.796240919,0.194496336,0.372670497,0.039840954,0.119522861,-0.01,11.2451125,4.99,3.99,3.99,35.8770322,5.106527395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.60093989,6.076020107,5.535201929,6.606881965,5.106527395,11.60093989,0.0,0.0,0.0,0.0,6.606881965,11.61122204,0.0,0.0,0.0,0.0,11.60093989,11.71340936,0.0,0.0,0.0,11.61122204,0.0,0.0,20.23,0.0,0.0,0.0,6.606881965,0.0,0.0,11.61122204,0.0,0.0,0.0,16.70746729,0.0,4.961095679,0.0,7.895,1.277777778,0.0,0.0,1.445987654,0.03125,0.0,0.333333333,5,1,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0.7312,22.0788,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
